,prompt,acc,reward,#tokens
0,"Review: fairly successful at faking some pretty cool stunts but a complete failure at trying to create some pretty cool characters .
Sentiment: terrible

Review: achieves a sort of filmic epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.8700000047683716,115.70728302001953,76
1,"Review fairly successful at faking some pretty cool stunts but a complete failure at trying to create some pretty cool characters .
Sentiment: terrible

Review: achieves a sort of filmic epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.8700000047683716,103.56224060058594,75
2,"Review successful at faking some pretty cool stunts but a complete failure at trying to create some pretty cool characters .
Sentiment: terrible

Review: achieves a sort of filmic epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.8799999952316284,109.89786529541016,74
3,"Review at faking some pretty cool stunts but a complete failure at trying to create some pretty cool characters .
Sentiment: terrible

Review: achieves a sort of filmic epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.9049999713897705,111.87357330322266,73
4,"Review faking some pretty cool stunts but a complete failure at trying to create some pretty cool characters .
Sentiment: terrible

Review: achieves a sort of filmic epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.8849999904632568,111.09933471679688,72
5,"Reviewaking some pretty cool stunts but a complete failure at trying to create some pretty cool characters .
Sentiment: terrible

Review: achieves a sort of filmic epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.8799999952316284,103.31019592285156,71
6,"Review some pretty cool stunts but a complete failure at trying to create some pretty cool characters .
Sentiment: terrible

Review: achieves a sort of filmic epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.8949999809265137,107.05667114257812,70
7,"Review some cool stunts but a complete failure at trying to create some pretty cool characters .
Sentiment: terrible

Review: achieves a sort of filmic epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.875,105.86866760253906,69
8,"Review some stunts but a complete failure at trying to create some pretty cool characters .
Sentiment: terrible

Review: achieves a sort of filmic epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.8899999856948853,107.7669906616211,68
9,"Review some but a complete failure at trying to create some pretty cool characters .
Sentiment: terrible

Review: achieves a sort of filmic epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.9099999666213989,105.48595428466797,67
10,"Review some but complete failure at trying to create some pretty cool characters .
Sentiment: terrible

Review: achieves a sort of filmic epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.8799999952316284,100.71220397949219,66
11,"Review some but complete failure trying to create some pretty cool characters .
Sentiment: terrible

Review: achieves a sort of filmic epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.875,100.22325134277344,65
12,"Review some but complete failure trying to create some pretty cool characters .
Sent: terrible

Review: achieves a sort of filmic epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.8849999904632568,101.87063598632812,64
13,"Review some but complete failure trying to create some pretty cool characters .
Sent: terrible
Review: achieves a sort of filmic epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.9149999618530273,111.19937133789062,63
14,"Review some but complete failure trying to create some pretty cool characters .
Sent: terribleReview: achieves a sort of filmic epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.8999999761581421,111.23965454101562,62
15,"Review some but complete failure trying to create some pretty cool characters .
Sent: terribleReview: a sort of filmic epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.8799999952316284,103.4505844116211,61
16,"Review some but complete failure trying to create some pretty cool characters .
Sent: terribleReview: sort of filmic epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.8949999809265137,103.43035125732422,60
17,"Review some but complete failure trying to create some pretty cool characters .
Sent: terribleReview: of filmic epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.9199999570846558,108.80644226074219,59
18,"Review some but complete failure trying to create some pretty cool characters .
Sent: terribleReview: ofic epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.8949999809265137,106.91373443603516,58
19,"Review some but complete failure trying to create some pretty cool characters .
Sent: terribleReview: of epiphany that revels in the true potential of the medium .
Sentiment: great

Review: {sentence_1}
Sentiment: {mask_token}",0.8999999761581421,100.4867935180664,57
