sentence	label
Japan poised to take US beef TOKYO - US beef exports to Japan, valued at more than US\$1.7 billion last year, will resume in a matter of weeks after Tokyo agreed to ease a 10-month ban on the meat brought by a lone case of mad cow disease in Washington state.	0
Loud Explosions Echo Through Iraqi Capital (AP) AP - Loud explosions echoed through the Iraqi capital Tuesday morning as a number of mortar rounds landed near government offices, the Interior Ministry and witnesses said. There was no immediate word on casualties.	0
Russia Blames Terrorism for Downed Plane MOSCOW Aug. 28, 2004 - The discovery of traces of explosives in the wreckage of one of two airliners that crashed almost simultaneously this week have confirmed a widely suspected terrorist connection and 	0
Taj Mahal Celebrates 350th Anniversary Ceremonies are planned near Agra, where the white marble monument to love was built in the 17th century as a tomb for emperor Shah Jahan #39;s most beloved wife.	0
Bush to Meet With Leaders of Mexico, Chile President Bush aims to dispel the perception of U.S. neglect of Latin America and burnish an American reputation damaged by the Iraq war, undertaking a second-term diplomatic offensive in the region akin to his recent courting of Europe.	0
NASA Chief Said to Be Top Contender for L.S.U. Job Sean O'Keefe has sought and become the top contender for a high-level job at Louisiana State University, according to NASA and university officials.	0
IRS Revises Standards for Tax Attorneys (AP) AP - Lawyers, accountants and other professionals who offer tax advice must meet stricter ethical standards under guidelines issued by the Treasury Department and Internal Revenue Service on Friday.	0
Chicago Mayor's Son Enlists in Army at 29 (AP) AP - Mayor Richard Daley's son, whose name and MBA from one of the nation's most prestigious universities would have opened doors to a lucrative career, has instead joined the Army and could be sent off to the battlefields of Iraq or Afghanistan.	0
Browns, Cowboys swap wideouts CLEVELAND - The Cleveland Browns traded wide receiver Quincy Morgan to the Dallas Cowboys on Monday for wide receiver Antonio Bryant.	1
Mike Danton Sentenced to 7 1/2 Years (AP) AP - Former St. Louis Blues player Mike Danton was sentenced Monday to 7 1/2 years in prison for trying to have his agent killed.	1
Gene named as Ferrari test driver LONDON, England -- Marc Gene has joined Ferrari as a Formula One test driver, the world champions have revealed. Gene, 30, has been employed in the same role with Williams for the past four years with three 	1
Tenn. Coach Excited About Freshman QBs (AP) AP - Coach Phillip Fulmer can relate to Tennessee's fans. He, too, is eager to see how his two freshmen quarterbacks do in their college debuts.	1
Tennis: Serena Williams Reaches Finals of China Open Top seed Serena Williams of the United States has powered her way into the finals of the China Open tennis tournament in Beijing with a straight sets (6-2, 6-3) victory over fourth-seeded Vera Zvonareva of Russia.	1
Beckham breaks rib in English victory CBC SPORTS ONLINE - Soccer star David Beckham broke his rib just before scoring a highlight-reel goal in England #39;s 2-0 win over Wales in a World Cup qualification match on Saturday.	1
Brown, Jeter Hand Yankees Series Lead Over Twins  NEW YORK (Reuters) - Kevin Brown pitched six innings and  Derek Jeter notched three hits and drove in three runs to lead  the New York Yankees to an 8-4 victory over the Minnesota Twins  in the American League Divisional Series Friday.	1
 #39;Kick up the backside for England, #39; says Vaughan after loss POTCHEFSTROOM, South Africa (AFP) - England captain Michael Vaughan admitted his team had received a  quot;kick up the backside quot; when they crashed to a seven-wicket defeat against South Africa A at Sedgars Park.	1
Lowe #39;s Sees Profit Rising in 2005, 2006 Home improvement retailer Lowe #39;s Cos. (LOW.N: Quote, Profile, Research) on Tuesday said it expects diluted earnings per share to rise in both 2005 and 2006 as it benefits from increased remodeling and home ownership.	2
Damage to increase grapefruit price tag Florida will produce the smallest grapefruit crop in almost 70 years after three hurricanes hit the state #39;s citrus producing counties, blowing over trees, ripping fruit from limbs and flooding groves.	2
US Airways, pilots resume talks com. With its pilots back at the negotiating table and one, albeit small, round of givebacks in the bag, US Airways is hoping for continued good news as it navigates its second bankruptcy filing in two years.	2
Intelsat to Be Bought for  #36;5 Billion (Reuters) Reuters - Intelsat Ltd., the world's\second-largest satellite operator, said on Monday it agreed to\be bought by a consortium of four private equity firms for  #36;5\billion, including assumption of  #36;2 billion of debt.	2
General Mills to make all cereals whole grain MINNEAPOLIS - The Trix Rabbit and that Lucky Charms leprechaun are going on a whole-grain diet. General Mills announced on Thursday that it will convert all of its breakfast cereals to whole grain.	2
US Dollar Hits Another Low Against Euro A window display in London showing the financial prices, Thursday Nov. 25, 2004. The dollar has dropped to an all time low against the Euro.	2
EU clears Oracle #39;s takeover bid for PeopleSoft The European Commission approved US software company Oracle #39;s 7.7 billion-dollar takeover bid for its American rival in the business software market Peoplesoft on Tuesday.	2
RadioShack Profits as Wireless Sales Jump (Reuters) Reuters - RadioShack Corp.  on Tuesday\posted a 22 percent rise in its third-quarter profit due to\strong wireless sales and cost control, and reaffirmed its goal\to grow 2005 earnings by as much 21 percent.	2
Cybersecurity Chief Takes a Hike The director of Homeland Security's National Cyber Security Division quits, giving one day's notice. His resignation comes during a push by the tech industry and several lawmakers to make cybersecurity a higher priority.	3
