	question	option1	option2	label
0	how do you call a round of poker?	put down the same as everyone else.	tell everyone that you fold.	0
1	To ensure two boards are cut to the exact same length,	measure the first board to the desired length and cut it.  Then use the first board to measure the second board to the exact same length.	measure the first board to the desired length and cut it.  Then use the first board to measure the second board, add an inch, and cut it.	0
2	Keep pits smelling clean without deodorant.	Rub baby powder under arms.	Rub baking powder under arms.	0
3	How do I flatten a fat chicken breast to make picatta?	Place the chicken breast on a cutting board. Cover with plastic wrap to reduce mess. Using a rolling pin, gently bang from one side to the other to thin. Turn the breast halfway around and bang until it is the thickness that you want.	Place the chicken breast on a cutting board. Cover with cooking oil to reduce mess. Using a rolling pin, gently bang from one side to the other to thin. Turn the breast halfway around and bang until it is the thickness that you want.	0
4	What is the best material to be used for a hammock?	The best material would be cloth to ensure the comfort.	The best material would be a metallic sheet so that the hammock has a strong sturdy structure.	0
5	how do you turn on a water hose?	turn the knob to the right.	turn the knob to the left.	0
6	To make a costume	Find a costume that you want to make and follow instructions for making it properly. Start with pieces of it.	Find a costume that you want to make and try to copy that costume. Make it all in one go so you don't forget where you started.	0
7	To make tights easier to put on,	bunch them up all the way to the foot so that you can slip it on like a sock and then pull them up from there.	put lotion on your legs first so that they sleep easier into the tights when you are pulling them up.	0
8	To safe money on hand soap use.	Wrapping a rubber band around the neck of a soap dispenser will slow its flow, meaning you’ll get an appropriate amount of soap with every pump rather than running through a bottle every week.	Wrapping a rubber cane tip around the neck of a soap dispenser will slow its flow, meaning you’ll get an appropriate amount of soap with every pump rather than running through a bottle every week.	0
9	To make a circle bigger that a normal compass.	Make use of as extra beam compass.	Use a compass that can be found in a mathematical set.	0
10	sheet of paper	can be used to cover a  dog cage if it has holes	can be used to cover a  face if it has holes	0
11	To cast image of laptop using a projector	Connect the laptop to the projector using a VGA cable.	Link the laptop with the projector using a cable to transmit the data.	0
12	How can I fix a phone or tablet that has its screen frozen?	Attempt to restart the phone, if not do a forced restart on the phone. Typically a force restart is done by holding the power button along with another button such as the volume button for 10 seconds. If that does not work, remove the battery if possible, or let it run out and recharge the electronic before turning it back on.	For a frozen phone or tablet, attempt a forced restart on the phone. Press the power button and the home button for 3 seconds, until the phone restarts. If that does not work, plug in the phone to its charger and charge it for an hour. Attempt to do the same process for the phone, and make it do a forced restart.	0
13	Make a small table.	Flip a round waste basket upside down and cover with cloth.	Get a round waste basket and cover top with cloth.	0
14	How much dog food do you feed a medium sized dog weighing around 30 pounds for each meal?	They need about one cup of dried dog food, but will eat it better if you mix in about a half of cup of wet dog food with it much better.	They need about 10 cups of dried dog food, but will eat it better if you mix in about a half of cup of wet dog food with it much better.	0
15	how to make toasted garlic and sage rice	Make Toasted Garlic Rice, frying 8 small sage leaves with the garlic; use for garnish.	Make Toasted Garlic Rice, frying 8 small sage and cucumber leaves with the garlic; use for garnish.	0
16	To save leftover meat after cooking dinner,	put the meat into a plastic storage bag and the store in the fridge.	put the meat into a plastic grocery bad and store in the fridge.	0
17	How to curl your hair.	Start with completely dry hair, using a hot curling iron place a small section of hair over barrel and hold in place with top bar then roll iron, hold a few moments, unwind and unclip hair, continue repeating process until all hair is curled.	Start with completely wet hair, using a hot curling iron place a small section of hair over barrel and hold in place with top bar then roll iron, hold a few moments, unwind and unclip hair, continue repeating process until all hair is curled.	0
18	how to freeze soups without taking up a lot of space	freeze flat, and stack	freeze in fat bottom jars, and stack	0
19	How to change a headlight.	Open hood, locate headlight holder, if necessary loosen screws to remove cover, push down clip or cap holding wires to bulb base, unscrew old bulb and screw new bulb in places, reattach wires by clip or cap.	Open hood, locate headlight holder, if necessary loosen screws to remove cover, push down clip or cap holding wires to bulb base, unscrew old bulb and screw new bulb in places, no need to reattach wires by clip or cap.	0
20	To get plastic to easily make a finger stylus out of.	Cut off the handle from a water jug.	Cut off the handle from a beer mug.	0
21	how do you reference something?	refer back to it.	mention it.	0
22	To cut a rod to length.	Use a saw with a metal cutter attachment.	Use a saw with a metal grinder attachment.	0
23	Create a photo storage box.	Use a shoe box and cover it with pretty contact paper.	Paint words or pictures onto a clear plastic tote.	0
24	How do I remove fat from cooked ground beef?	Remove the cooked ground beef from a skillet using a slotted spoon. This allows the fat to drip away before you place the ground beef on a plate. Scoop the ground beef in small quantities and tap the spoon on the skillet to remove as much fat as possible.	Remove the cooked ground beef from a skillet using a wooden spoon. This allows the fat to drip away before you place the ground beef on a plate. Scoop the ground beef in small quantities and tap the spoon on the skillet to remove as much fat as possible.	0
25	How do you prevent onions from sticking to the pot when you brown the onions?	Add a couple of tablespoons olive oil and stir them frequently.	Add a couple of tablespoons olive oil and avoid stirring them.	0
26	How can you make thread as light as possible?	You can make thread as light as possible by untwisting the threads with your fingers.	You can make thread as light as possible by untwisting the threads with your toes.	0
27	Repot a growing plant.	Get a larger pot then the plant needs. Gather some potting soil and a few rocks to keep the drainage area clean. Add soil and rocks to pot and carefully flip your plant upside down with your hand around it. Pull it out and put in new pot.	Get a smaller pot then the plant needs. Gather some potting soil and a few rocks to keep the drainage area clean. Add soil and rocks to pot and carefully flip your plant upside down with your hand around it. Pull it out and put in new pot.	0
28	socket	can be crushed by brick and broken.	can be crushed by bucket and broken.	0
29	Clean a cast iron cooking pan.	Rub some salt into the pan with half of a potato.	Take the pan in to be sandblasted to remove even the most stubborn stains.	0
30	How to easily clean up the kitchen after cooking?	clean as you go.	put all of the dirty dishes in the oven, until you can deal with them	0
31	How can I zest a lemon?	Use the fine setting on a cheese grater.	Use the fine side of a metal nail file.	0
32	To ensure clean lines when spray painting,	use a ruler and spray thin coats to avoid drips.	make sure you tape off and cover anything that you are trying not to paint.	1
33	To prevent cookies from sticking to a baking pan, you can	Spray with confectioners sugar	Spray with pam or use grease	1
34	To insulate wood from the sand in a desktop zen meditation garden.	Use cheese cloth over the wood base.	Use fiber cloth over the wood base.	1
35	make homemade raisins	Blanch grapes by dropping by the bunch in boiling water for 30 seconds, then transferring into a bowl of wine.    Remove stems.    Pat dry with a towel and spread in a single layer onto baking sheets.    Place baking sheet in an oven set to warm (180 degrees is ideal) and allow to dry 18-24 hours, turning after 12 hours to prevent sticking.    Once dark and wrinkled, remove from oven and allow to cool before storing in an airtight container.	Blanch grapes by dropping by the bunch in boiling water for 30 seconds, then transferring into a bowl of ice water.    Remove stems.    Pat dry with a towel and spread in a single layer onto baking sheets.    Place baking sheet in an oven set to warm (180 degrees is ideal) and allow to dry 18-24 hours, turning after 12 hours to prevent sticking.    Once dark and wrinkled, remove from oven and allow to cool before storing in an airtight container.	1
36	how do you steal an item?	ask someone if you could borrow it and never give it back.	take it without anyone knowing that you did.	1
37	bottle	fits in  a vagina when it's huge	fits in  hand when it's huge	1
38	To reduce tartness of tomato sauce,	add a little salt.	add a little sugar.	1
39	Prevent hair dye stains.	Apply lotion on hairline.	Apply vaseline on hairline.	1
40	How to close a browser tab on Chrome	Move the mouse pointer to the browser tab you wish to close. Left click the X, which is on the left edge of the tab.	Move the mouse pointer to the browser tab you wish to close. Left click the X, which is on the right edge of the tab.	1
41	clean white shoes	Mix a tablespoon of baking soda with two tablespoons of white vinegar and a cup of warm water. Dip a cloth or clean tampon into the paste and begin scrubbing away the dirt on your shoes. The baking soda mixture will dry pretty quickly. Then, brush off any remaining paste and let your shoes air dry.	Mix a tablespoon of baking soda with two tablespoons of white vinegar and a cup of warm water. Dip a cloth or clean toothbrush into the paste and begin scrubbing away the dirt on your shoes. The baking soda mixture will dry pretty quickly. Then, brush off any remaining paste and let your shoes air dry.	1
42	How to paint old keyboard.	Place keyboard on newspaper and spray with hairspray.	Place keyboard on newspaper and spray with spray paint.	1
43	How to install solar lamps outside.	Outdoor lighting adds a whole new nighttime dimension, and extra security, to a home. But hardwired lighting is expensive to install and usually requires the help of a licensed electrician. Instead, use solar-powered light fixtures. Installation is as simple as placing them in a sunny location. And $100 will buy you about two dozen attractive hair-style solar lights.	Outdoor lighting adds a whole new nighttime dimension, and extra security, to a home. But hardwired lighting is expensive to install and usually requires the help of a licensed electrician. Instead, use solar-powered light fixtures. Installation is as simple as placing them in a sunny location. And $100 will buy you about two dozen attractive spike-style solar lights.	1
44	Make an Avocado Mask for Curly Hair	Mix together ½ of a tomatoe, three blueberries, and an egg yolk. Add honey and coconut oil for extra shine. Mix in some mayonnaise if you have curly, kinky hair. Apply the mask and let sit under a shower cap for 20 minutes. Rinse your hair with cool water, then shampoo and condition.	Mix together ½ of an avocado and an egg yolk. Add honey and coconut oil for extra shine. Mix in some mayonnaise if you have curly, kinky hair. Apply the mask and let sit under a shower cap for 20 minutes. Rinse your hair with cool water, then shampoo and condition.	1
45	how do you set of the SOS alert on an iphone?	turn your phone off and on.	press the power button fast three times, and it automatically sets off the SOS	1
46	q-tip	can be stapled by  screwdriver 	can be stapled by  stapler 	1
47	To easily determine who is calling you,	don't answer until they text you their identity.	set special songs for each contact.	1
48	To start a fire when you have no kindling.	Light a strawberry, due to the high volume of oil in them, they burn a long time.	Light a corn chip, due to the high volume of oil in them, they burn a long time.	1
49	How Can You Mark Out the Size Hole You Need for a Sunken Trampoline?	You can mark out the size hole you need to dig for your sunken trampoline by flipping the trampoline upside down on the ground, and using a hacksaw to mark out the outline around it.	You can mark out the size hole you need to dig for your sunken trampoline by flipping the trampoline upside down on the ground, and using a spade to mark out the outline around it.	1
50	clay	can fit in  can opener 	can fit in  shoe box 	1
51	Make a waste basket from cardboard.	Get a cereal box and use this for waste.	Cut four equal size rectangles of cardboard. Cut a square of cardboard equal in sides to the width of the rectangles. Stick the rectangles to the square with duct tape.	1
52	How to remove the seeds from a whole tomato?	First scoop the seeds out with a spoon then rest the tomatoes in hot water for a few minutes then split them in half	First rest the tomatoes in hot water for a few minutes then split them in half and scoop the seeds out with a spoon	1
53	When making homemade Altoids, how do I cut them into the correct size?	A cookie cutter is perfect.	A bubble straw is perfect.	1
54	How do you cook salmon?	Preheat your oven to 350°F and line a large baking sheet with foil. Bake your filet skin side-down for 12 to 15 minutes, or until red and opaque.	Preheat your oven to 350°F and line a large baking sheet with foil. Bake your filet skin side-down for 12 to 15 minutes, or until pink and opaque.	1
55	pot	can get wet if you sprinkle foil on it.	can be covered in foil when you cook	1
56	How can I make a flour omelette spongier?	Remove egg from the mixture.	Add egg to the mixture.	1
57	How to clean salt from shoes in winter?	Mix together water and finger in a spray bottle and spray your shoes with the mixture then rub it with a cloth to remove the salt, wear it before drying	Mix together water and finger in a spray bottle and spray your shoes with the mixture then rub it with a cloth to remove the salt, let it dry before wearing	1
58	How do I find my garden tools easier when gardening?	Purchase a stand to put in the middle of your garden.	Paint the handles of your garden tools bright colors.	1
59	To add a light inside a lamp.	Get wire with a plug, and chain, and feed the chain on. Then put on a washer -this should be decently big, and this is how the shade part will be attached. Then tape the wire to the socket, and screw in the bulb. CFLs don't get very hot, so go with one of those.	Get wire with a plug, and chain, and feed the chain on. Then put on a washer -this should be decently big, and this is how the shade part will be attached. Then solder the wire to the socket, and screw in the bulb. CFLs don't get very hot, so go with one of those.	1
60	rubber stamp	can remove a nail	can hammer a nail	1
61	keys	can be restricted by reading glasses 	can be restricted by foil 	1
62	To prepare tomatoes to be chopped, you can	Rinse them in cool water and pat dry with a used towel	Rinse them in cool water and pat dry with a clean towel	1
63	How to remove pilling once it has formed on clothing?	Use a razor and gently pull over the clothing careful to press firmly into the clothing	Use a razor and gently pull over the clothing careful not to touch the clothing	1
