premise	hypothesis	label
A woman wearing black glasses is sharing sweets with a toddler girl wearing a princess hat.	The woman shared her candy with the child.	0
two people are kayaking outdoors	Two people are kayaking.	0
Children sitting down together for lunch time at their school.	children eating lunch at school	0
Six people on stage getting ready to take a bow.	the people were on stage	0
Several women riding horses and carrying rope waiting for the gate to open at a rodeo event.	there are horses at a rodeo	0
A young child splashing in water.	A young child is wet.	0
A child with her hair tied is smiling.	there is a happy child	0
A man in a black outfit are tossing up toy balls.	A man is wearing black	0
A dog sits in a car with its tongue sticking out.	A dog is in the car.	0
A young woman in a print and black colored top is utilizing flour and other ingredients to bake in the kitchen.	This woman is not in her bedroom right now.	0
A man having just thrown a baseball in large field.	A man threw a baseball	0
In a crowd of people, a man stands smiling with hands up.	A group of people are standing.	0
Woman wearing a costume, drinking a beverage.	A female in weird clothing holding a glass.	0
Woman in a green and white striped shit lying in a chair with a yellow bag, holding a folded piece of paper.	The woman is clothed.	0
This woman is taking her turn during a bowling match.	A woman is at a bowling ally.	0
A child is mostly hidden in a green shopping bag.	A child hiding inside a shopping bag.	0
Four people with black hair pose for a picture with windows in the background.	Four black haired people pose for a picture.	0
Two dogs are playing in a field of tall grass.	There are animals outdoors.	0
A couple of men on a bus are looking out the window.	Men are looking out a window.	0
Crowd of people sitting and standing under a bridge.	People are congregation outside.	0
Horses and jockeys running in a turf race.	The jockeys are moving.	0
A man in a blue-plaid shirt and white hat, backdropped by a stone wall performs an unknown task while standing atop a platform.	A man is on a platform.	0
Men siting on table, with red, green, yellow, and blue umbrella's.	Men are sitting, surrounded by multicolored umbrellas.	0
Five young, well-dressed people work in a kitchen.	There are five people in the kitchen.	0
A smiling woman holding an object is standing next to a man.	A happy woman holding an object is standing next to a man.	0
A group of African people are awaiting to receive a bag.	They are patient.	0
People on bikes gathered at night.	people riding bikes.	0
It appears as though an elderly man is sleeping or relaxing on some cool cement squares between two rows of pillars.	A person is laying down.	0
One woman is holding something up to her mouth while the other woman has her fingers on the side of her face.	Woman are hanging out.	0
A woman is holding a tennis racket.	A woman is about to play tennis.	0
A man in black carrying an orange backpack stands next to a red backpack that is laying in the snow.	A man is standing in the snow with his backpacks.	0
Two men are wearing black hats and carrying bagpipes.	Two men are transporting bagpipes.	0
A Scottish band of musicians plays music for a crowd whilst wearing kilts.	A band is playing music.	0
A man in a green shirt directs trucks in preparation of the racetrack.	A man is outside directing traffic	0
A middle-aged man and woman are holding hands walking in a street with people behind them.	A man and a woman are walking outside.	0
A man in a white shirt and sunglasses and a man in a black shirt and sunglasses sit at a table with four beer bottles.	A man in a white shirt and sunglasses and a man in a black shirt and sunglasses drink together.	0
Two girls in heels stand on a street corner.	Girls are standing on a street corner	0
a person wearing a white hooded sweatshirt covered with a blanket sitting on a bench reading	A person sitting down on a piece of furniture reading.	0
A man skates down a long outdoor stairway.	This man performs some extreme skating.	0
A woman drawing a picture of two children.	A woman is drawing.	0
A man with blond dreadlocks, wearing a clown t-shirt, is talking on the phone.	The man is wearing clothes.	0
A musical trio- two females and a male- is performing in an auditorium	A musical trio- two females and a male- perform.	0
One gu, wearing blue gloves and a brown vest, with a large camera pointed toward a Conquest trailer with a solar cell at his feet.	A guy with a camera taking pictures.	0
Some of the trees on the side of the track are beginning to change color with the season.	Some of the living woods on the outside of the ring are starting to vary in appearance.	0
People on gondola rides through the canals of Venice between buildings.	The people are outdoors	0
A group of spectators sitting in lawn chairs in the street facing a building and drinking beer.	There's multiple individuals shown here.	0
Young boy encounters other children, also riding bikes.	Children are riding bikes.	0
A few people are planting flowers.	They are gardening.	0
A boy speaks to his elder in the orange garb.	A boy speaking to and older person.	0
Three guys in basketball uniforms, two of them are wearing orange and white uniforms and the other is wearing blue and yellow, playing basketball.	People are playing a ball game.	0
A group of women and one older man have food and drinks at a restaurant and talk amongst themselves.	A group of people are at a restaurant.	0
A van with flags advertising floats, boogie boards, umbrellas, chairs, and surfboards.	The van is colorfully overflowing with a melange of advertising signs.	0
One man is holding a dumpster door open while another man puts a trash bag in the dumpster.	The men know where to throw out their trash.	0
An adult male is kneeling on top of a roof make repairs	A male is making repairs.	0
Two college aged males smile while sitting at a lab table with an egg on it.	A couple of young men are in their university class.	0
A young girl picks up a hose.	A young person picks up a watering hose	0
A group of young boys play a basketball game.	There are people playing a sport.	0
A group of men in wetsuits carrying instruments are walking in a parade.	There's more than one male shown in the photo.	0
Asian little kids in a school waiting for a teacher.	Some Asian kids are waiting for a teacher.	0
A small girl climbs her way up a playground set towards a slide.	A child plays near a slide.	0
Two men asleep in separate chairs.	Two men are sitting in different chairs.	0
Three children in big balls inside of a swimming pool, at a festival.	Three children in a swimming pool.	0
Many people are gathered and the group in the foreground is conversing with drinks and their coolers nearby.	A group of people holding drinks are conversing while surrounded by others	0
A dog rests on a loveseat, while a man lies on a nearby sofa.	the dog is takign a nap	0
Two friends await their demise as a man with a giant snowball held above his head waits for the perfect time to strike	Tall humans waiting	1
Two young adults are enjoying time in the snow.	Two adults are throwing snowballs.	1
As the blue sky is dappled with white, fluffy clouds, two people are standing together near a seating area with green umbrellas.	A man and wife enjoying the sun coming out.	1
A man descends a snowy mountain.	The man is using tools to help descend the mountain.	1
Woman in white shirt and blue track pants raking leaves.	A woman rakes maple leaves.	1
A man locking his bicycle to a metal pole.	The man had his last bike stolen, so no he is careful.	1
A woman with glasses playing a tuba.	A woman with glasses playing an instrument.	1
The man in the striped shirt has the attention of a gathering crowd.	A mime begins to perform for a crowd in the street.	1
Two young blond women stand in a plaza sharing a mass of white cotton candy while pedestrians pass by all around them.	Two women are trying to look cute for strangers.	1
A man with gray hair combed back, a blue plaid shirt and jeans, is smoking a cigarette.	The man is wearing cowboy boots.	1
Men on an oil rig pose in their life preservers.	the men are happy to work on the oil rig	1
Two Asian children are standing at the foot of a tree together.	the children are playing a game	1
Man dressed in coat, scarf, and hat painting a picture of a building on an easel in the streets.	An artist paints an old building in a city.	1
A young boy wearing glasses has his hair set to stand up.	A boy is getting ready for a date.	1
Friend gathered together setting and laughing on a blue blanket with a little toddler wearing a blue hat.	The group of people are sitting down to have a family reunion.	1
Four girls playing soccer while the coach looks on.	Girls play soccer in the state tournament.	1
A man is sitting on a blue machine of some kind, on the side of the road.	A man is sitting on a large blue machine	1
A boy from another country is being photographed by a tourist, and he does n't know what to make of it.	A child's picture is being taken for a travel guide	1
An old man stands in front of a doorway.	A man is blocking people from entering his house.	1
A speaker is giving a speech at a formal event.	The speech is for a formal event.	1
Dog has mouth open in field.	The dog is panting from running.	1
A man in a blue boat on the water.	The man is going fishing.	1
A dog is jumping through the air in an open, snow covered field.	In a snow covered open field, a dog leaps over an ice puddle.	1
Two men, one dressed in blue shirt and pants and one dressed in purple shirt and black pants are creating pottery.	The two men are giving demonstrations to a class on how best to form pottery on a pottery wheel.	1
Woman in a green top and blue jeans bowling.	A woman is bowling for a national championship.	1
A little girl wearing striped pants, a pink top, and boots follows two older girls on horseback.	The girls are learning how to ride horses.	1
A wet man in a black tank top.	The man is part of a wet tshirt contest.	1
A man in a black shirt playing a guitar while another man watches.	the man is a player	1
A man attending to the front wheel of his motorcycle.	The man is stealing a tire from a motorcycle.	1
A rodeo rider on a bucking horse with a clown in the background.	A clown is riding the bucking horse.	1
