sentence	label
an incoherent jumble of a film that 's rarely as entertaining as it could have been .	0
the performances are so overstated , the effect comes off as self-parody .	0
most of the storylines feel like time fillers between surf shots .	0
anyone who suffers through this film deserves , at the very least , a big box of consolation candy .	0
horrible .	0
it 's a stale , overused cocktail using the same olives since 1962 as garnish .	0
by the time you reach the finale , you 're likely wondering why you 've been watching all this strutting and posturing .	0
a markedly inactive film , city is conversational bordering on confessional .	0
it would take a complete moron to foul up a screen adaptation of oscar wilde 's classic satire .	0
staggeringly dreadful romance .	0
given too much time to consider the looseness of the piece , the picture begins to resemble the shapeless , grasping actors ' workshop that it is .	0
... if you , like me , think an action film disguised as a war tribute is disgusting to begin with , then you 're in for a painful ride .	0
it 's fitting that a movie as artificial and soulless as the country bears owes its genesis to an animatronic display at disneyland .	0
the only thing `` swept away '' is the one hour and thirty-three minutes spent watching this waste of time .	0
with the cheesiest monsters this side of a horror spoof , which they is n't , it is more likely to induce sleep than fright .	0
an awful snooze .	0
a movie like the guys is why film criticism can be considered work .	1
-lrb- janey -rrb- forgets about her other obligations , leading to a tragedy which is somehow guessable from the first few minutes , maybe because it echoes the by now intolerable morbidity of so many recent movies .	1
is n't as sharp as the original ... despite some visual virtues , ` blade ii ' just does n't cut it .	1
... a rather bland affair .	1
although sensitive to a fault , it 's often overwritten , with a surfeit of weighty revelations , flowery dialogue , and nostalgia for the past and roads not taken .	1
has all the values of a straight-to-video movie , but because it has a bigger-name cast , it gets a full theatrical release .	1
the characters never change .	1
could this be the first major studio production shot on video tape instead of film ?	1
outside of burger 's desire to make some kind of film , it 's really unclear why this project was undertaken	1
not only is it hokey , manipulative and as bland as wonder bread dipped in milk , but it also does the absolute last thing we need hollywood doing to us : it preaches .	1
return to never land is much more p.c. than the original version -lrb- no more racist portraits of indians , for instance -rrb- , but the excitement is missing .	1
it 's in the action scenes that things fall apart .	1
the material and the production itself are little more than routine .	1
tv skit-com material fervently deposited on the big screen .	1
if you saw benigni 's pinocchio at a public park , you 'd grab your kids and run and then probably call the police .	1
pretty much sucks , but has a funny moment or two .	1
but his showboating wise-cracker stock persona sure is getting old .	2
viewed as a comedy , a romance , a fairy tale , or a drama , there 's nothing remotely triumphant about this motion picture .	2
the most remarkable -lrb- and frustrating -rrb- thing about world traveler , which opens today in manhattan , is that its protagonist , after being an object of intense scrutiny for 104 minutes , remains a complete blank .	2
the story is virtually impossible to follow here , but there 's a certain style and wit to the dialogue .	2
i prefer to think of it as `` pootie tang with a budget . ''	2
the characters are interesting and the relationship between yosuke and saeko is worth watching as it develops , but there 's not enough to the story to fill two hours .	2
the rock has a great presence but one battle after another is not the same as one battle followed by killer cgi effects .	2
the grey zone gives voice to a story that needs to be heard in the sea of holocaust movies ... but the film suffers from its own difficulties .	2
certainly .	2
these two are generating about as much chemistry as an iraqi factory poised to receive a un inspector .	2
snipes relies too much on a scorchingly plotted dramatic scenario for its own good .	2
on a certain base level , blue crush delivers what it promises , just not well enough to recommend it .	2
when you resurrect a dead man , hard copy should come a-knocking , no ?	2
the whole affair is as predictable as can be .	2
if you 're really renting this you 're not interested in discretion in your entertainment choices , you 're interested in anne geddes , john grisham , and thomas kincaid .	2
if mr. zhang 's subject matter is , to some degree at least , quintessentially american , his approach to storytelling might be called iranian .	2
oddly , the film is n't nearly as downbeat as it sounds , but strikes a tone that 's alternately melancholic , hopeful and strangely funny .	3
its almost too-spectacular coastal setting distracts slightly from an eccentric and good-naturedly aimless story .	3
does an impressive job of relating the complicated history of the war and of filling in the background .	3
if you can swallow its absurdities and crudities lagaan really is enormously good fun .	3
i like that smith , he 's not making fun of these people , he 's not laughing at them .	3
i have always appreciated a smartly written motion picture , and , whatever flaws igby goes down may possess , it is undeniably that .	3
as action-adventure , this space-based homage to robert louis stevenson 's treasure island fires on all plasma conduits .	3
a reasonably entertaining sequel to 1994 's surprise family hit that may strain adult credibility .	3
a film of delicate interpersonal dances .	3
there are some movies that hit you from the first scene and you know it 's going to be a trip .	3
nothing can detract from the affection of that moral favorite : friends will be friends through thick and thin .	3
it 's stylishly directed with verve ...	3
best enjoyed as a work of fiction inspired by real-life events .	3
a captivatingly quirky hybrid of character portrait , romantic comedy and beat-the-clock thriller .	3
the beauty of alexander payne 's ode to the everyman is in the details .	3
changing lanes tries for more .	3
it 's sweet , funny , charming , and completely delightful .	4
best of all is garcia , who perfectly portrays the desperation of a very insecure man .	4
it 's been done before but never so vividly or with so much passion .	4
brash , intelligent and erotically perplexing , haneke 's portrait of an upper class austrian society and the suppression of its tucked away demons is uniquely felt with a sardonic jolt .	4
surprisingly powerful and universal .	4
as a director , paxton is surprisingly brilliant , deftly sewing together what could have been a confusing and horrifying vision into an intense and engrossing head-trip .	4
brings to a spectacular completion one of the most complex , generous and subversive artworks of the last decade .	4
throws in enough clever and unexpected twists to make the formula feel fresh .	4
leigh is one of the rare directors who feels acting is the heart and soul of cinema .	4
at 78 minutes it just zings along with vibrance and warmth .	4
the asylum material is gripping , as are the scenes of jia with his family .	4
really quite funny .	4
the cast is top-notch and i predict there will be plenty of female audience members drooling over michael idemoto as michael .	4
matthew lillard is born to play shaggy !	4
an intelligently made -lrb- and beautifully edited -rrb- picture that at the very least has a spark of life to it -- more than you can say for plenty of movies that flow through the hollywood pipeline without a hitch .	4
the most amazing super-sized dosage of goofball stunts any `` jackass '' fan could want .	4
