sentence	label
too interested in jerking off in all its byzantine incarnations to bother pleasuring its audience 	0
lack-of-attention span 	0
of a war zone 	0
does n't have anything really interesting to say 	0
contrived , unmotivated , and 	0
amy and matthew have a bit of a phony relationship , but 	0
a movie that is n't just offensive 	0
worked so much better dealing in only one reality 	0
an all-time low 	0
halfwit 	0
would probably be duking it out with the queen of the damned for the honor . 	0
soggy performances 	0
seriously dumb 	0
dumb gags 	0
parochial , accessible to a chosen few , standoffish to everyone else , and smugly suggests a superior moral tone is more important than filmmaking skill 	0
is degraded , handheld blair witch video-cam footage 	0
proved too difficult 	0
crocodile hunter has the hurried , badly cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster 's path of destruction . 	0
it squanders chan 's uniqueness ; it could even be said to squander jennifer love hewitt ! 	0
looking down at your watch and 	0
wasted nearly two hours of your own precious life 	0
from being dragged through a sad , sordid universe of guns , drugs , avarice and damaged dreams 	0
to whom the idea of narrative logic or cohesion is an entirely foreign concept 	0
loud and offensive , but more often 	0
way to make j.k. rowling 's marvelous series into a deadly bore 	0
anyone who has seen the hunger or cat people will find little new here 	0
, rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer 	0
amateurish , quasi-improvised 	0
lost his touch , bringing off a superb performance in an admittedly middling film 	0
its absurdities and crudities 	0
` nature ' loves the members of the upper class almost as much as they love themselves . 	0
as the most offensive action 	0
, not-nearly - as-nasty - as-it 	0
change the channel 	0
most devastating flaw 	0
follows the formula , but throws in too many conflicts to keep the story compelling . 	0
shallow and immature character with whom to spend 110 claustrophobic minutes 	0
thumbs down due to the endlessly repetitive scenes of embarrassment 	0
making ararat far more demanding than it needs to be 	0
this movie sucks . ' 	0
compromise with reality enough to become comparatively sane and healthy 	0
does n't have a single surprise up its sleeve 	0
by the most random of chances 	0
about half of them are funny , a few are sexy and none are useful in telling the story , which is paper-thin and decidedly unoriginal . 	0
makes edward burns ' sidewalks of new york look like oscar wilde 	0
fails . 	0
to face frightening late fees 	0
guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves 	0
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic 	0
that a subject as monstrous and pathetic as dahmer 	0
if welles was unhappy at the prospect of the human race splitting in two , he probably would n't be too crazy with his great-grandson 's movie splitting up in pretty much the same way . 	0
loud , chaotic and largely unfunny 	0
can not mount a cogent defense of the film as entertainment , or even performance art , although the movie does leave you marveling at these guys ' superhuman capacity to withstand pain . 	0
just another disjointed , fairly predictable psychological thriller 	0
a formula that worked five years ago but has since lost its fizz 	0
resist his pleas 	0
suffer ' 	0
what 's hard to understand is why anybody picked it up . 	0
than to rush to the theater for this one 	0
a typical bible killer story 	0
add up to little more than a screenful of gamesmanship that 's low on both suspense and payoff 	0
bombastic and ultimately empty world war ii action 	0
the worst of the brosnan bunch 	0
in this woefully hackneyed movie , directed by scott kalvert , about street gangs and turf wars in 1958 brooklyn -- stale cliches , gratuitous violence , or empty machismo 	0
is hard not to be especially grateful for freedom after a film like this . 	1
a terrific job 	1
genuinely moving 	1
headline-fresh thriller 	1
a delightful romantic comedy with plenty of bite 	1
distinguished 	1
colorful bio-pic 	1
spy kids 2 also happens to be that rarity among sequels 	1
i 've never seen or heard anything quite like this film , and i recommend it for its originality alone 	1
allows each character to confront their problems openly and honestly 	1
emerged as hilarious lunacy 	1
hilarious ) 	1
both lead performances are oscar-size . 	1
clever , 	1
home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face . 	1
successful 	1
because its flabbergasting principals , 14-year-old robert macnaughton , 6-year-old drew barrymore and 10-year-old henry thomas , convince us of the existence of the wise , wizened visitor from a faraway planet 	1
that 's because panic room is interested in nothing more than sucking you in ... and making you sweat . 	1
in anything ever , and easily the most watchable film of the year 	1
very funny as you peek at it through the fingers in front of your eyes 	1
is gratefully received 	1
wilco fans will have a great time 	1
a clever script and 	1
a lively and engaging examination of how similar obsessions can dominate a family 	1
