sentence	label
As soon as you walk in the front, the place is filled with smoke.  If you don't know where to go or try to ask a question, they point you to the direction. Like I'm supposed to know where the heck I'm going. Atmosphere definitely not friendly. When you go in, it felt like the main purpose was just to win money. I get that but you gotta have some fun. I was going with a group of friends and had a great time but once I lost where they were, I played a few games and was ready to get out. Staff unfriendly and guests were just as rude. Maybe a full moon was out and everyone was in a bad mood including the employees. When given another chance to go again, I'll try but don't really want to. Would not recommend this to anyone.	0
(edited to tone it down)\n\nPros:\n\n- Pizza is great\n- Beer specials on Mondays are awesome.\n\nCon:\n\n- The restaurant can be a playground for screaming children. \n\nI'm just trying to eat, have a beer, talk, and watch the game. I don't want to deal with a bunch of screaming kids running all over the place and fighting over the arcade game in the corner. Even the great beer specials on Mondays are not worth listening to that. \n\nIt must be noted that there is only so much the management can do about other peoples' children. Their parents should manage the volume - but I think some just become habituated to it.\n\nMaybe it's not like that every night. But we have noticed it twice.\n\nIf you eat here, just ask to be seated in the corner farthest from the arcade game, unless you enjoy the sound of shrieking children after working all day.\n\nObviously, if you have kids, they're a family-friendly restaurant.	0
"REVIEW IS ON THE CLUB---\nWent to see Holly's Peep Show. Very nice, especially act 2 and the view from behind of Holly's BEHIND!\n\nKoi Club-\nGot wristbands from \""promoters\"" telling us that women are free with the wristband and I would pay but free drinks all night. \n\nWe got there and it ended up being 20 bucks cover for anyone and only women's drinks were free\n\nThe dance floor, seating area and bar area are about as big as my apartment. I actually might have a better VIP area. LOL -\nWay too many people for the amount of room. There were girls there with flipflops and t-shirts. Guys with running shoes and polo's. From the facade in front you can be led to believe this is an upscale place. It's more like a local bar with a decent DJ in a pretty box. \n\nTook the girls 15 mins to get drinks, then I had to go over to the other side of their small bar to clash with the restroom go-ers to get my 8-dollar beer. \n\nGo somewhere else. Maybe BANK or TRYST"	0
Okay.....read the other reviews about taking the scenic routes and making it a longer ride that wasn't a problem with this guy. I looked up the rates did the math myself it was a 9.6 mile trip the meter came out to what I got.....But I left my 350$ nikon camera in the cab. Called the company got in touch with the driver......he tried to extort money out me to bring me my camera are you fuckin serious?!? He wanted 70$. How about I call highway patrol tell them you stole my camera have them arrest you and tow the cab?!? He has a cleft lip cab number 558 and when he starts talking fast you can't understand anything he says. Will not use nellis cab company again next time I'm in vegas which was my first time going by the way cuz I turned 22 while I was on vacation there so choose someone else	0
Im giving it a 1 star but you may not all agree with that. If your a beetles fan you may love it. Other wise its a vomit of color and repetitive flips with annoying music that has long since been outdated. Yes Im sorry hipsters but we all have to admit that the beetles aren't as good as you claim they are. maybe in our parents generation. So if you a beetles fan or a hipster that pretends to be one go you may like it. If you are not STAY AWAY!!	0
Horrible food! I had the prime rib and it was overcooked and dry and I had the baked potato and it was hard! I could barely eat it. My wife had the country fried chicken which is a Vegas special and she said it was really chewy and gross. Never going there again. :(	0
Just visited Khaos last week and I must say the outfits are cute but pricey and what really threw me off was you aren't allowed to take pictures of ANYTHING in the store. Funny thing, all I wanted to do was Twit how cute the stick on tattoos were but I was informed it was NOT ALLOWED...WOW. \nMy friend and I left the store empty handy and we were planning to buy.	0
Craving a breakfast burrito and we decided we wanted Filibertos for breakfast.  Ordered in the drive thru and the young man's language barrier was so bad that we had to pull up to the window to communicate.  \n\nHe repeated our drink order five times. ..not one or twice,  but FIVE times and it was still wrong when we got home.  He didn't understand what root beer was and asked if it was blueberry?  REALLY? We ordered Mt Dew and learned that we got lemonade once we were home.  \n\nUgh, so frustrating.  I understand is Mexican food,  but at least put someone that can communicate in tyne drive thru window.  Because I'm pissed and im sure he's frustrated or maybe he doesn't give a shit. But you'd think that management would care when their food costs are increased because they have to correct do many mistakes by remaking the food.  \n\nOn a positive note,  the inside of the restaurant was very clean when I had to go back in for the wrong item to be corrected.	0
"I used 1 of my 3 manicures that I bought on Groupon on this Friday 3/8/13.  Gary the nail tech used a clear gel and then nailpolish on top of it-  and he said that it would last for 2 weeks.  His polish was all over the sides of my nails and he said that would come out in the shower.  I left there disapointed that I had to go home and clean up my nails so that it didnt look like a 5 year old painted them.  Then I took a shower the next morning and my whole thumb nail -polish and gel - totally peeled off in 1 whole piece.  Thank god I used my own polish so that I could just paint it even though the \""Wonderful gel\"" he used had peeled off too.  Then yesterday by the end of the day 3 other nails of gel and polish had completely peeled off in one full piece.  I am not sure what products he uses -but it was horrible.  He was rude and even told me that someone called to complain that theirs chipped and he said \""too bad, I cant take you back for 2 weeks\"".  This is not someone I want to go back to considering the fact that it didnt even last for 24 hours when he said his products were so great they lasted for 2 weeks at a time.  He is a 1 man operation, so its not like I can go to someone else in the salon.  I still have 2 of these \""Gel manicures\"" that I have not used and would never go back there or sugest that any of my friends go there either."	0
I called the Cosmo 2 times to tell them the 6 of us would arrive after midnight - we were coming from Boston.  We arrive and I am told my 2 rooms have been given away so they put us in 2 Board Rooms with 2 full size Murphy Beds.  After 3 hours we finally get 2 rollaway beds brought to the room (it is now 3 am).  \n\nWe paid for the first night rooms so why did they give them away.  \n\nI find this totally unacceptable.  They moved us the next day but we had to stay in our room with our luggage until 4 pm when the rooms were ready so we missed out on a day in Vegas.\n\nI was there for a conference and many people had room problems so my advice stay at another hotel!\n\nThey also advertise the room with a kichenette, yup there is a stove and microwave but no utelsils, plate, pots & pans.  Why bother.	0
well after my boyfriend JUST waited 45 minutes for a to go order, i think it safe to say we won't be trying this place again.  both of us work in restaurants and he's a manager at a bar right down the street from Half Shell, so he know's what a bartender looks like when she's forgotten to put in an order. and not only did she forget to put the order in but she forgot his meal all together. WONDERFUL. She did offer to have it made but he already sat there for 45 mins, what makes her think he's gonna sit there and wait again due to HER error. Thanks but No thanks. \n\nP.S their ceviche is HORRIBLE, no flavor and NO juice. If i had wanted chopped up shrimp,onions, jalapeno and tomatoes i would have just made it at home. \n\nvery disappointed in this place.	0
"Maybe I have an abnormally high expectation of customer service, but this place really got my blood boiling. PItt's Dogg'n It doesn't, in fact, have anything to do with hotdogs. Okay, that's fine. But if I had to force you to take five seconds out of your precious phone conversation to tell me that, then there's a serious problem. And when you didn't in fact audibly say the word \""No,\"" when I asked you, \""Do you have any hot dogs,\"" and instead mouthed the word \""no,\"" then we have an even more serious problem. I was in the store for about 15 minutes looking around. On top of that, I made a transaction. Did the guy helping me get off the phone once? No. Did he greet me, ask me to sign my receipt, tell me to have a good day, utter the tiniest of annoyance in my direction? No. In fact, when it came time to sign my receipt, he pantomimed signing with a pen all while talking loudly on the phone. \n\nIf you can't even be bothered to get off the phone and greet the people who are spending money in your establishment then, frankly, you don't deserve any of my own or anyone else's money. \n\nLearn how to run a damn business or at least employ people that will show your business in a decent light."	0
