premise	hypothesis	label
Man in black prepares to celebrate his birthday by blowing out the candles on his cake.	It's a man's birthday.	0
a white dog runs along the beach	The dog is outside.	0
A man in a blue canoe paddling in the ocean.	There is a person in a boat.	0
The sun is blazing through the trees onto a green tent in the woods.	the sun is shining.	0
One bear has fur that sticks up on its back resembling a mohawk.	The bears fur resembles a mohawk.	0
a woman sits on a log near the water.	Woman sits outside near water	0
Band performing at a show.	A band plays on stage.	0
A black man wearing a blue hat and brown jacket playing drums in the hall.	A dark skinned man plays drums inside.	0
A group of people are sitting around a white table with small white bowls and spoons on it.	A group of people are sitting a table with bowels and spoons.	0
A biker takes a drink of water.	The man is drinking water.	0
Before onlookers in a park, a man in a black shirt and rollerblades slides backward down a railing.	A man is sliding down a railing.	0
A young lady with an umbrella is walking by while two women are adoring the adorable puppy one gentleman was walking.	a bunch of people walking outside	0
Two older people talk in a group of people.	Two people are speaking to each other within a larger group.	0
A man holding giving a lecture.	A person gives a lecture.	0
A man sleeping on the couch.	A man is sleeping.	0
Dark nightclub with chairs.	A night club with places to sit.	0
A small girl wearing pink is bending over to read the inscription on the statue.	The girl is reading the statue.	0
Two people are standing outside a store on a city street.	Two people are outside.	0
An Asian man in a white tank-top kicking a punching bag in a gym.	The Asian man in the gym is working on his kicks.	0
An adult and a child walking on the sidewalk next to a large building with graffiti.	A building has been vandalized.	0
A large man with long hair holding a bottle of wine, relaxing in a chair.	A large man is relaxing in a chair with wine.	0
A man and woman wearing sunglasses are window shopping.	At least two people are wearing sunglasses.	0
Small Korean war honor guard getting ready for the parade as a small group of onlookers sit on the sidewalk.	A group of people sit on a sidewalk.	0
A man in a red shirt and black vest is playing the guitar.	a guitar is being played	0
A group of men are at a college fair carrying white bags and backpacks.	A group of men are carrying lots of bags.	0
The person in red and black is laying on a bench under a black umbrella.	a person has a umbrella	0
I young girl is blowing a bubble with gum.	A girl has gum in her mouth.	0
Multiple people at a gathering under a pavilion in the snow.	A group at an outside event in the winter.	0
Construction worker in rain gear pausing.	A worker in rain gear.	0
A man is holding a saxophone in a public place as a woman and a child walk by in the background.	Live music is being played.	0
Three hockey players in red jerseys are standing together holding hockey sticks.	Three hockey teammates in red dresses are holding their sticks.	0
