sentence	label
in a plot as musty as one of the golden eagle 's carpets 	0
its scrapbook of oddballs 	0
puts on airs of a hal hartley wannabe film -- without the vital comic ingredient of the hilarious writer-director himself . 	0
the attempt to complicate the story only defies credibility 	0
all awkward , static , 	0
director douglas mcgrath takes on nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading . 	0
's just merely very bad 	0
gross-out flicks , 	0
seem self-consciously poetic and 	1
made the full monty a smashing success ... but 	1
both an admirable reconstruction of terrible events , and a fitting 	1
exploits ( headbanger ) stereotypes in good fun , while adding a bit of heart and unsettling subject matter . 	1
ambitious ` 	1
savvy director robert j. siegel and his co-writers 	1
of rich detail condensed 	1
a majestic achievement , an epic of astonishing grandeur and 	1
