	sentence	label
0	death might be a release . 	0
1	does n't trust laughs -- and does n't conjure proper respect for followers of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects 	0
2	an erratic career 	0
3	a baffling subplot involving smuggling drugs inside danish cows 	0
4	overcooked soufflé 	0
5	the rut dug by the last one 	0
6	slow and ponderous , 	0
7	into too many pointless situations 	0
8	it 's a heck of a ride 	1
9	's no way you wo n't be talking about the film once you exit the theater 	1
10	the characters move with grace and panache 	1
11	demme gets a lot of flavor and spice into his charade remake , 	1
12	has merit and 	1
13	a mesmerizing one 	1
14	has a few nice twists in a standard plot and the charisma of hugh grant and sandra bullock 	1
15	what allows it to rank with its worthy predecessors 	1
