	sentence	label
0	from his first hand accounts of the ( wonderland murders aka woodland murders ) .	0
1	he is a homeless street performer who brings shakespeare 's soliloquies to life each afternoon on various street corners around the city of denver .	0
2	through it all , carlos comes to understand that if he is to make it as a comic artist , he must engage with the community he comes from , take that experience back out into the world , and put it in his work .	0
3	when julius caesar gets wind of the project succeeding , he has the building site attacked by his troops in order to win the bet and not lose his face .	0
4	but as she comes home , she opens a mysterious door that leads her to an artificial world : the holo-deck .	0
5	ethan , a confident young architect and seeming 'perfect guy ' has invested himself , and his heart , in women like rachel before - and he is sure he has learned his lesson .	0
6	from a special little girl , lena grows into an especially fearful adolescent .	0
7	with the help of their gay hairdresser ( pop star jordan chan ) and some friends inside the company , the girls become `` irresistibly `` beautiful , and secretly get rehire under new identities .	0
8	her cathexis was rapid and she formed an intense attachment to her young doctor , who seems to have reciprocated .	0
9	it 's a love story in havana at the begining of the 19th century , between a young women from hait & # 237 ; and a german man .	0
10	to what sweet end is the story of a reunion between mary and david , who were once passionate lovers - for two weeks , thirty-five years ago and have n't seen each other since .	0
11	with a single clue to their whereabouts and nothing to lose , he leaves to find 'his people ' .	0
12	they have to prepare for some action as the there will be a full moon tonight . . .	0
13	investors from around the world are intrigued to bring money to the project heavily backed by patricia .	0
14	surrounded by a bevy of adoring but completely wrong for her men ( and one dead girl from manchester ) , chance has to pick her way through her messy life in order to figure out which guy is `` it `` .	0
15	impressed by his extravagant lifestyle and prowess , his young son kilo yearns to follow in his footsteps .	0
16	una works as a supermarket cashier hating her work and everybody around : the costumers , the manager , the staff .	0
17	although the dogs seemingly have it in for ted , he decides to keep the dogs and race them in the local race , the arctic challenge , spiting a mountain man ( played by james coburn ) who wants the dogs .	0
18	the worst pain for him is the next 5 minutes of living .	0
19	jack , a lonely driver on a desert highway , runs out of gas .	0
20	they have fallen on hard times and are now working jobs outside of show business to make ends meet .	0
