sentence	label
Terrible food for dinner. Sorry, but if you are looking for a decent meal, don't give this place a try. Yes, there is an outdoor section right in the middle of the Venetian shops and it looks really cute--no, don't let that mislead you, don't eat here. And I'm not someone who expects much...\nWe ordered a lasagna and chicken parmigiana. Pretty basic Italian dishes you can't mess up right? Wrong. My lasagna was very lacking, all it had was meat and sauce.. and the meat was very questionable. I was wincing  with every bite, just because I was starving. The chicken parmigiana was not too bad, but the spaghetti was very bland; my friend said the sauce tasted watered down and bland. The bread that came before our entrees came in a basket and wrapped with dinner napkins... very blah bread, and they couldn't even bother to toast it? \n\nI didn't check out the bakery items, but just for their dinner entrees, I will never eat here for meals again. Dislike Tintoretto.	0
After Dana George from Hilton left me the Yelp comment on this review AND emailed me with the note below on May 16th, about a month later I've still not received the points. If this is how they treat their Diamond tiered guests I can't imagine how they treat everyone else...ridiculous.\n\nDear Mr. Ng,\n \nI received a correspondence from our Hilton Customer Service Center in regards to a copy of your receipt and the credit of your Hilton Hhonors points for your stay from 4/29/12 to 5/4/12.  I have emailed you a copy of your hotel receipt on a separate email and I have personally gone in and submitted your points.  You should be able to view this credit to your Hhonors account by tomorrow morning.  I truly apologize for the confusion and added work this has caused you.\n \nRegards,\n\nDana George\nAssistant General Manager\nCustomer Service	0
If getting your nails done in a clean environment is important to you, I would suggest steering clear of this place. I went in for a manicure one morning and another lady was waiting for one right after me. The glass bowl filled with water used to soak my nails in was simply dumped out and refilled with water for the next person. I was totally disgusted! There are no sanitizing solutions in sight. The nail utensils used are kept in plastic boxes and not cleaned after each use. I watched the lady wipe my dead skin off and then put them right back in the box. I was totally grossed out. Also, she asked me if I would pay for my manicure before we started, which I thought was a little weird, but not too big of a deal I suppose. And on top of that, it started chipping the next day because she was rushed to get to the next customer and missed the sides of my nails with the second coat. Delightful nails across the street is much better!	0
I have always enjoyed the food at Mimi's Cafe, but this Mimi's in particular is so dirty. It seems like they never clean the decorations on the wall. I happened to touch the back of a booth one time and my hand had gross, greasy accumulated dust/dirt. I let the waitress know and she said they only clean what the manager says to clean. This place could use a good deep scrubbing from top to bottom.	0
Walked in first before two other couples came in the door. Apparently they were regulars because when the hostess arrived she knew them by name and greeted them. After telling her we came in first she ignored us anyway and sat the regulars. After we finally got sat we never saw a single soul. She sat us, went back over to the regulars to chat, then dissapeared. We watched as everyone else got their order taken. We were ignored and waited about 20 minutes before getting up and leaving. I'll never go back again because of that. Sorry Nee House. We wanted to like you!	0
Never would I recommend this place to anyone. Got here early on a Sunday morning and was seated right away. Service was better than ok. Food was just blah. Worst experience was while eating, there was a roach crawling on the wall behind us.  Told the server and she smiled at us, then she grabbed a rag and proceed to kill the roach w it...question is will that rag be used to clean your table?	0
"Finally someone wrote back to me. Claims I don't know how to view the DVD \""After some collaboration we've discovered it is possible you are attempting to view the slide show in a DVD player rather than a computer.\"" I build websites. I know how to open files on a DVD. The disc wasn't burnt correctly. Also, they have not responded back about sending me the 5X7 as promised. And what about the 19% service fee I was charged for the tip I left. Is that legal? Seems extremely odd...\n\nIf you're looking for a place to get hitched avoid Vegas Weddings at all cost."	0
OK so I have been trying to stick to this whole New Years resolution thing which is not easy. But decided to give this place a shot since they offer a few healthy options. Big mistake!!! OK so first off the service was good, and the place was clean except for the area in front of the soda machine. It really needed to be wiped down big time.\n\nI guess my biggest gripe had to be with the food. It was nasty!! Flavorless beans, dry chicken that was closer to jerky and a tortilla that seemed to change colors at the bottom. Not sure why but did not remember paying for a color changing burrito. \n\nNow I understand that this is just a take out place that is very similar to say a taco bell or Del taco, but the food is bad at these places as well. I have to say while the food is bad the service and free refills of horchata did make me at least feel they deserved the one star I gave them, but wish I could have gotten a refund. Sorry but the only person crazy here is me for thinking this place was going to be good.\n\nNever again	0
"I stopped staying at the Venetian next door when I was given a room last year that was soaking wet even down into the sunken living room (apparently someone let the tub run over). When the hotel merely changed the room and didn't offer any \""makeups\"" (MGM gave me 2 free buffets when something similar happened) I knew it was time to stick to the Palazzo. Well, now it's time to bid adieu to both properties as management has clearly decided that service and cleanliness no longer apply at this property.\n\nWhile the rooms are less worn than at the Venetian (only because it's newer) and they have the electric shades/drapes, there's very little else here that makes it worth spending money for, especially when other properties are fighting for our travel dollars. You are charged a $16 nightly resort fee (incl. tax) that gets you unlimited local and 800 calling (have a cell phone so I don't need it), free internet access (could never get past the sign up page \""accept\"" button) and access to their Fitness Room. This is only access to the gym and NOT the spa facilities which requires an additional $20 upfee but the gym is large and has everything (it just takes forever to walk there from the Palazzo).\n\nThe rooms are spacious and the bed is comfortable but the rooms are not always clean. And the evidence I have to prove that is that during my 2 night stay there recently, housekeeping did not ONCE service my room. Even after making 3 requests and being told that a maid was assigned to my room, I was disappointed to see that when I returned to my room at 10pm that nothing had been done. Discussions with the general manager on site did nothing to rectify the situation, only a weak apology and no effort to compensate, just a promise that I would receive better service the next time (who said there would be a next time). It's obvious that management has cut back on expenses during the recession but cutting back on cleanliness makes me wonder if they're risking more serious consequences (novovirus anyone?) by doing so.\n\nI would NOT recommend this hotel or it's sister property the Venetian to anyone, except my worst enemies (let them get sick, not me!). If you want 5 star service, go next door to the Wynn where they understand that concept (and it's usually cheaper too!). If you want a nice room, stay at the MGM or Mirage for much less money and better service."	1
This sephora is not worth your time. Not only do they not carry all products, the ones they do carry are often out of stock or have broken boxes/seals.  The sales staff also is horrible. They are not helpful and uneducated.  I have gone to this sephora a few times because it's close to my house but every time I've been disappointed. This most recent visit I was the only person in the store and there were two sales girls.  Nether said hello or asked if I needed help. One had her head down the whole time at the counter the other was doing her entire makeup with the samples.	1
"We brought some out of town guests for lunch on New Years day.  When our waitress came to our table my husband started to ask if they had a nutrition guide for their kids menu.  Before he could finish she curtly said \""No\"". He politely finished his sentence, explaining that our 7 year was diabetic and we needed the information to calculate her insulin.  She then said, just as rudely \""still no, do you want to place your drink orders?\"" We did stay, but only because we brought people and we felt bad.  The service did not improve and it took a very long time to receive our food even though the restaurant was not busy.  I'm sorry, I don't care how good your food is.  It does not make up for poor customer service."	1
Although the artwork is amazing and the place looks modern and sleek, the service and care is not so great. \nIf a great look was all that was important in healthcare, they would win hands down but when sick or injured or worse...dying. These are not the things that matter to me. \nWhen your loved one is hooked up to many many different wires, needles, bags, machines, etc. and the alarms are going off, it would be nice to actually have someone act like it matters. \nIts important to know that your loved one is being cared for as if they were the caregivers own family member. \nI actually never met or spoke to a Dr. but I did visit several times and each time the alarms would go off and after waiting several minutes we would have to go get a nurse. Some were well within hearing distance and we were always told they would be there when they were done with whatever else they were doing which was never with another patient. \nSad to say but If I ever need medical care in the future I don't want to be taken there.	1
