sentence	label
Downer upbeat after North Korea meetings MARK COLVIN: The Foreign Minister, Alexander Downer, has met North Korea #39;s Foreign Minister and the President of the Supreme Peoples #39; Assembly in Pyongyang. As one of the few Western nations with diplomatic relations with the isolated totalitarian state, ...	0
Newmont welcomes exec release US mining giant Newmont Mining has welcomed the release of five of its executives, including an Australian, who were detained in Indonesia last month amid claims one of the company #39;s gold mines polluted a bay in central Indonesia.	0
RUSSIA * LEFTISTS * RALLY MOSCOW, November 7 (RIA Novosti) - Communists and other Left-wing opposition forces rallied on Theater Square, in Moscow #39;s center, on the 87th Bolshevik Revolution anniversary.	0
Five Killed as Typhoon Tears Across Southern Japan Typhoon Chaba tore across southwestern Japan Monday, killing at least five people and knocking out electricity for thousands as it swirled its way north, dumping heavy rain and whipping up huge seas.	0
6-Nation North Korean Nuclear Talks in Doubt With North Korea #39;s nuclear threat flaring up this week, Senator John Kerry vowed in Philadelphia on Friday to get the talks about the country #39;s weapons program  quot;back on track quot; if elected president.	0
Manitoba RCMP investigating whether convicted pedophile committed more crimes (Canadian Press) Canadian Press - WINNIPEG (CP) - RCMP are investigating whether convicted pedophile and killer Robert Bliss Arthurson committed sex crimes against three more young girls.	0
"Cheney Blasts Kerry for Dean Comments (AP) AP - Vice President Dick Cheney turned Sen. John Kerry's own words against him Tuesday while criticizing the Democrat for calling the war in Iraq ""the wrong war in the wrong place at the wrong time."""	0
Govt Confident UN Seat Won #39;t Spark Diplomatic Row Government has dismissed speculation that declaring its readiness to serve as a Permanent Member of the United Nations Security Council (UNSC) could spark a diplomatic row with certain African countries.	0
Marlins Win at Temporary Home in Chicago (AP) AP - Chased out of Florida by Hurricane Ivan, the Marlins were forced to play a home game on the road and still cut their gap in the NL wild-card race. Florida rallied with six runs in the bottom of the eighth inning, taking advantage of four Montreal errors to beat the Expos 6-3 Monday at U.S. Cellular Field.	1
Fencer Smart can't find winning touch Twice Keeth Smart charged, his opponent attacked and both lights went off. Twice, Smart was left standing on the strip, helmet in hand, after American losses.	1
NL Capsules Albert Pujols hit a tiebreaking single in the ninth inning, and the Cardinals beat the Milwaukee Brewers 7-4 Monday night for their major league-leading 98th victory.	1
Han Wins in Portland Hee-Won Han of South Korea hit a beautiful second shot on the first playoff hole, then sank a 4-foot birdie putt to beat Lorie Kane of Canada and win the Safeway Classic.	1
Baseball: Mets introduce Willie Randolph as manager NEW YORK : The New York Mets formally introduced Willie Randolph as the 18th manager in the history of the major league baseball club, giving the veteran coach an opportunity that had often eluded him.	1
Hearing held on Hamm medal Paul Hamm said yesterday that he would give back his Olympic gold medal if sport's highest court ordered him to. But lawyers for the American gymnast and the US Olympic Committee told the sport's highest court that there are no grounds to change the results of last month's men's all-around competition, which Hamm won with the greatest comeback in the ...	1
Report: Giambi Admits to Using Steroids  SAN FRANCISCO, CA (Sports Network) - According to a report,  New York Yankees first baseman Jason Giambi claimed in his  grand jury testimony that he took a human growth hormone in  2003 and also used steroids for at least three seasons.	1
Bryant Rape Trial to Begin Today On one point, both sides agree: The sexual encounter in Kobe Bryant #39;s hotel suite was over in a matter of minutes. But that episode on a summer night in the Colorado mountains 	1
BA cuts 1,000 flights to beat delays British Airways has cancelled nearly 1,000 flights at Heathrow over the next three months in an effort to halt a slide in the reliability of its timetable.	2
Update 1: PM: France Will Conform to Deficit Rules Tight spending controls will allow France to cut its budget deficit by about euro10 billion (US\$12 billion) in 2005 and conform with EU rules, the French prime minister said in an interview.	2
