sentence	label
to help him complete his manuscript he hires stenographer emma .	0
amongst these , ruth , a girl of 17 , writes a diary on the journey they are to undertake on the atlantic .	0
tong is sent back to fetch some things for devlin and unknowingly tries on devlin 's tuxedo and finds that it gives extraordinary powers to anyone that dons the suit .	0
before his very eyes on the store tv monitor , he sees his pick come up as the winning numbers for $ 50-million !	0
a go ! ! ! `` and the paper is dated with the year 2003 .	0
when mcconaughey 's girlfriend ( played by kate beckinsale ) becomes pregnant , the pair are fearful that the baby will inherit the oldman gene .	0
in the 1800 's there was a woman that little children would take their old teeth ( ones they had recently lost ) to in exchange for a gold coin .	0
they follow leads , informants turn up dead , nick 's wife is unhappy he 's back on the street , henry 's protective of the dead cop 's wife .	0
derailed by bad writing and possibly also by some of that extensive post-production reworking to aim the film at young males in the throes of their first full flush of testosterone .	1
mostly , shafer and co-writer gregory hinton lack a strong-minded viewpoint , or a sense of humor .	1
a dark comedy that goes for sick and demented humor simply to do so . the movie is without intent .	1
canada 's arctic light shines bright on this frozen tundra soap opera that breathes extraordinary life into the private existence of the inuit people .	1
the movie , while beautiful , feels labored , with a hint of the writing exercise about it .	1
those who managed to avoid the deconstructionist theorizing of french philosopher jacques derrida in college can now take an 85-minute brush-up course with the documentary derrida . or , you can do something fun tonight .	1
though the material sounds complex and potentially sleep-inducing , director robert j . siegel paints his portrait of boredom and discontent with deft strokes .	1
extreme oops - oops , ops , no matter how you spell it , it 's still a mistake to go see it .	1
