sentence	label
Paes and Bhupathi beam in on Olympic glory (AFP) AFP - Indian pair Leander Paes and Mahesh Bhupathi took another step nearer an elusive Olympic gold medal when they beat Zimbabwe's Wayne Black and Kevin Ullyett 6-4, 6-4 to reach the men's doubles semi-finals at the Olympic tennis tournament.	0
UN Refugee Chief Backs Darfur Autonomy Sudan may have to grant autonomy to Darfur to bring peace to the vast region where 1.4 million people have been displaced by fighting and 50,000 have died, the UN High Commissioner for Refugees said on Friday.	0
Ivory Coast protesters face French troops urged protesters to form a  quot;human shield quot; to protect the house of Ivory Coast President Laurent Gbagbo. the unrest in Ivory Coast, the world #39;s largest cocoa grower.	0
Sri Lanka Reactivates Dormant Death Penalty  COLOMBO (Reuters) - Sri Lanka reactivated its dormant death  penalty Saturday for murder, rape and drug trafficking after a  near 30-year lull, the government said, a day after a high  court judge was murdered in the capital.	0
More Conflicting Reports on Arafat #39;s Health PARIS - There are more conflicting reports today about the health of Palestinian leader Yassar Arafat. The Palestinian Foreign Minister says Arafat is not getting better, but his spokeswoman says his condition is not deteriorating.	0
Iran wriggles to block nuclear sanctions bid IRAN is expected to thwart American attempts to send its nuclear dossier to the United Nations Security Council this week, despite a fresh flurry of concerns about its apparent ambitions to make a bomb.	0
China #39;s gross value of import and export reaches US\$ 623.1 bln During the first seven months this years China has further opened to the outside world, says Ma Kai, Director of the State Development Planning Commission.	0
Israeli soldiers  quot;killed in Gaza blast quot; Jazeera said eight soldiers were wounded on Sunday and a ninth was missing in addition to the four dead. Israeli sources said there were.	0
Two Blasts Hit Northwest Spain After ETA Warnings  MADRID (Reuters) - Small explosions rattled two coastal  cities in northwestern Spain on Saturday, injuring at least one  person, after a telephoned warning in the name of the armed  Basque separatist group ETA, officials said.	0
Thousands Line Up for Dwindling Flu Shots SOUTH CHARLESTON, W.Va. - Seventy-year-old Homer Fink spent eight hours sitting next to a supermarket Halloween display for a flu shot that he wasn't able to get at five other places...	0
Officials Warn of Major Flu Shot Shortages LONDON - U.S. health officials warned Tuesday of major flu shot shortages after British health officials abruptly pulled the license of the maker of half the U.S...	0
BCCI plans own telecast of Australia series (Reuters) Reuters - The Indian cricket board said on Wednesday it was making arrangements on its own to broadcast next month's test series against Australia, which is under threat because of a raging TV rights dispute.	0
Safin Makes Early Exit at U.S. Open NEW YORK - Just like at Wimbledon two months ago, Marat Safin exited at the earliest stage of the U.S. Open on Tuesday, bowing meekly to Thomas Enqvist 7-6 (5), 6-4, 3-6, 6-3...	0
Timor ex-governor released from jail FORMER East Timor governor Abilio Jose Soares has been released from jail after a court overturned his conviction over the bloodshed accompanying the island #39;s UN-backed independence referendum.	0
Putin Says Russia Working on New Nuclear Systems Russia is working on new nuclear missile systems that other powers do not have in order to protect itself against future security threats, President Vladimir Putin said Wednesday.	0
India-Russia sign joint declaration, accords New Delhi: India and Russia on Friday gave a new thrust to their relations when they signed a joint declaration and eleven agreements and memorandums of understanding (MOUs) to strengthen bilateral cooperation in banking, energy, space exploration 	0
Boje bounces out of tour to India South Africa: South African vice captain Nicky Boje has withdrawn from the national cricket squad #39;s tour to India after failing to get assurance by Delhi police that he would not be arrested for match-fixing, the team #39;s spokesman said Wednesday.	1
Let the Bidding Begin Wasting little time, Omar Minaya has reportedly offered Pedro Martinez a three-year, \$37.5 deal, with an option for a fourth season.	1
Schu doesn #39;t rule in France Michael Schumacher may rule the roost at the pinnacle of motor sport, but he failed to become  #39;Champion of Champions #39; at the novel event inside Paris #39; Stade de France.	1
Myskina Wins Three to Edge France for Fed Cup Victory In what many expected to be a 5-0 whitewash for the Russians, the Fed Cup finale came down to the final doubles match Sunday in Moscow, with Anastasia Myskina and Vera  quot;The Crying Game quot; Zvonareva edging Marion  quot;Roly Poly quot; Bartoli and Emilie Loit 7-6(5), 7 	1
Wilkinson Backs Woodward to Succeed World Cup-winning fly-half Jonny Wilkinson has no doubt former England coach Sir Clive Woodward will succeed in pursuing a new challenge in football.	1
Jets' Carter Back in the Kitchen, Heat and All Because of quarterback Chad Pennington's strained rotator cuff, Quincy Carter, a four-year veteran, is being thrown into the fire again.	1
Before hiatus, Canada wins The hockey season started early this year and, after two entertaining weeks of the World Cup, it ends for who knows how long. Despite the impending announcement of an NHL lockout today 	1
2004 Adelaide Test and Taste Experience At the conclusion of the Second Trans-Tasman Test, New Zealand skipper Stephen Fleming talked of his teams inability to withstand the best ever Test attack.	1
Sosa fined \$87,400 by Cubs Sammy Sosa was fined \$87,400 -- one day #39;s salary -- for arriving late to the Cubs #39; regular-season finale at Wrigley Field and leaving the game early.	1
A giant win for Redskins LANDOVER, Md. -- Stop the game and have a parade. The Washington Redskins finally scored 20 points. The big moment occurred with 41 seconds left in the first half of yesterday's rout of the New York Giants, when tight end Robert Royal caught Patrick Ramsey's 9-yard pass. Royal's first career touchdown gave the Redskins a 21-0 lead on the way ...	1
Weary Rivera saves day for Yankees again Mariano Rivera smiled easily and talked about how yesterday was better, how the  quot;sun came up today. quot; But his eyes were still weary when he stopped to talk during batting practice before Game 2 of the ALCS last night.	1
Today's schedule Pro baseball: International League -- Pawtucket vs. Scranton/Wilkes-Barre at McCoy Stadium, Pawtucket, R.I., 1 p.m.; Eastern League -- Portland vs. New Hampshire at Hadlock Field, Portland, Maine, 1 p.m.; Atlantic League -- Nashua vs. Newark at Holman Stadium, Nashua, 6:30 p.m.	1
'Dream Team' Out of Gold Race After Loss to Argentina  ATHENS (Reuters) - Argentina upset three-times defending  champions the United States 89-81 in their semi-final at the  men's Olympic basketball Friday.	1
B-R's opening task is not an easy one When the Old Colony League was trimmed to just four teams during the offseason, the spotlight was quickly cast on Bridgewater-Raynham's game at Marshfield Oct. 29.	1
SFA DELAY MOLDOVA DECISION The Scottish Football Association will focus their attention on the World Cup qualifier against Slovenia on Wednesday before deciding on any action for the game in Moldova next month.	1
Seattle Stops Detroit Lauren Jackson returns from a three-game absence to score 15 points, helping Seattle get an 86-67 victory over the Shock.	1
Dow Average Futures Fall; Forest Labs Declines, Guidant Rises Dow Jones Industrial Average futures declined amid concern an upcoming report on manufacturing may point to slowing economic growth.	2
More Data Sought on Drug for Sex Drive An advisory panel said that the first drug to enhance the sex drive of women should not be approved because of a lack of information about its long-term safety.	2
Schwab posts loss in quarter Discount brokerage Charles Schwab Corp. suffered a \$41 million loss during its fiscal third quarter as it absorbed costs from job cuts and other restructuring steps it hopes will reverse a protracted slump.	2
Jaguar to Eliminate 1,150 Jobs Luxury carmaker Jaguar said Friday it was stopping assembly work at its headquarters and cutting 1,150 jobs as a result of overproduction and poor sales in the key US market.	2
Stocks Rise; Siebel Boosts Tech Shares  NEW YORK (Reuters) - U.S. stocks rose on Monday as oil  prices eased a little and Friday's start-of-quarter buying  spree continued into the new week.	2
Wall Street Bonuses Likely to Rise  NEW YORK (Reuters) - Wall Street's annual bonuses may rise  10 percent to 15 percent this year, half as much as a year ago,  as revenue growth falls short of earlier expectations, a  leading industry consultant said.	2
AP-Italy-Alitalia Alitalia, Unions Ink Deal to Split CompanyDS Ext. Head.: Alitalia, Unions Sign Deal to Split the Italian Airline in Two to Stave Off Bankruptcy.	2
A Seismic Shift Under the House of Fannie Mae Unlike recent financial scandals, issues raised by Fannie Mae's regulators pertain to unwieldy accounting rules that are open to widely divergent interpretations.	2
Snap-On plunges on Q3 warning SAN FRANCISCO (CBS.MW) -- Shares of Snap-On Inc. plunged 11 percent early Tuesday after the tool and equipment maker warned of lower third-quarter profits due to higher steel costs, weakness in Europe and disruptions from hurricanes in the US.	2
Microsoft Tells Judge of Harm in Changing Windows Microsoft Corp will suffer serious harm if it is forced to provide a version of Windows without Windows Media Player audio-visual software, its lawyer told a European Union court on Friday.	2
Intel Cuts Revenue Outlook; Stock Falls (Reuters) Reuters - Intel Corp.  on Thursday\cut its third-quarter revenue and profit margin forecast after\demand for both its computer microprocessors and communications\chips weakened beyond expectations. Its stock fell nearly 8\percent.	2
"Stocks Fall on Security, Earnings Worries  NEW YORK (Reuters) - U.S. stocks fell in extremely thin  volume on Monday as security concerns surrounding the  Republican convention in New York and worries about an update  from technology bellwether Intel Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=INTC.O target=/stocks/quickinfo/fullquote""&gt;INTC.O&lt;/A&gt; this week kept  investors on the sidelines."	2
"WellPoint Health Profit Up on Premiums  CHICAGO (Reuters) - WellPoint Health Networks Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=WLP.N target=/stocks/quickinfo/fullquote""&gt;WLP.N&lt;/A&gt;,  the No. 2 health insurer by enrollment in the U.S., on Monday  posted a steep rise in quarterly profit as it kept health  premiums above rising medical costs and added new members."	2
CNNfn going off the air NEW YORK - CNN will shut down its CNNfn financial news network in mid-December after nine years on the air. Available to about 30 million US households, CNNfn could also be seen in Canada by viewers with grey market satellite dishes.	2
Verizon, Qwest Ask Court to Block New FCC Rules (Reuters) Reuters - Verizon Communications Inc. and\Qwest Communications International Inc. asked a federal court\on Tuesday to block temporary rules by the U.S. Federal\Communications Commission forcing the companies to lease phone\lines to rivals for at least another six months.	2
Mexico Expects to Double Auto Output in 10 Years (Update1) Mexico expects to double automobile capacity in 10 years, attracting investment of as much as \$10 billion from foreign automakers, Economy Minister Fernando Canales said in an interview.	2
Sun Launches UltraSPARC IV Sun Microsytems Inc. on Tuesday unveiled an upgrade of its dual-core UltraSPARC processor, which the company claims is twice as fast as the older version.	3
Intel Demonstrates New Chips Intel Corp. President Paul S. Otellini yesterday demonstrated new chips scheduled for release next year that simultaneously run tasks such as burning CDs and playing video games 	3
Lost in space Congress #39; decision to sink billions into President Bush #39;s man-on-Mars fantasy is premature - and potentially damaging to a national priority that has gotten short shrift for many years, aeronautics research.	3
Oracle Shares Gain Amid Tech Decline (Reuters) Reuters - Shares of software maker Oracle Corp.\ rose as much as 8 percent in early trading on\Wednesday, a day after the company posted strong quarterly\profit fueled by steady demand for its flagship database\products.	3
Web sites agree to be accessible to blind In one of the first enforcement actions of the Americans with Disabilities Act on the Internet, two major travel services have agreed to make sites more accessible to the blind and visually impaired.	3
U.S. to Poison Prairie Dogs in South Dakota (Reuters) Reuters - Wildlife workers have begun a program to\poison thousands of prairie dogs in the grasslands of South\Dakota to stop them from moving onto private ranch land parched\by drought, a federal official said on Tuesday.	3
Briefly: SAP taps search technology roundup Plus: Appeals court to rehear e-mail snoop case...Macromedia giving away Flex...T-Mobile adds security measure to hot spots.	3
Briefly: Macromedia announces training tool roundup Plus: Yahoo launches local-search engine...Sybase links back office to mobile devices...Legal expert joins open-source screening firm...Cray signs two supercomputing customers.	3
"Euro Disney Eyes  #36;180 Mln 'Tower of Terror'-Source (Reuters) Reuters - Euro Disney wants to use part of a\planned rights issue to build a gut-wrenching new ""Tower of\Terror"" ride that could cost some 150 million euros ( #36;182.2\million), sources familiar with the situation said."	3
Myths Run Wild in Blog Tsunami Debate As people gathered online to discuss the horror of the South Asian tsunami on sites known as Web logs, some bloggers said it had to be the government's fault.	3
Siebel to acquire eDocs for \$115 million Siebel Systems Inc. will acquire eDocs Inc. for \$115 million to help customers reduce call center and billing costs.	3
China confirms bird flu in pigs China confirms reports that the deadly H5N1 strain of bird flu has been found in its pig population.	3
PeopleSoft CEO vows to keep up the fight In the shadow of Oracle, an upbeat Craig Conway seeks to sooth customers at PeopleSoft's annual convention.	3
No Whiplash Help From Most Cars (CBS/AP) More than half of car seats as currently constructed do not do a good job of preventing whiplash injuries, tests by the insurance industry show.	3
Sara Lee Wrestles With RFID, Looks for Benefits SEPTEMBER 13, 2004 (COMPUTERWORLD) - Sara Lee Corp. is testing radio frequency identification tags on some product cases and shipping pallets to meet a mandate that RFID technology be used on goods sent to 	3
Hotmail Upgrade Finally Starts As the mailbox storage space rivalry continues, Hotmail has now begun upgrading the email account of its users. According to reports the upgrade will be in a phased manner, beginning from the United States and Europe, and later moving on to other regions.	3
