sentence	label
If you could be...?	0
Thessalonians 4?	0
Irish Aran Sweater Patterns with regard to clans?	0
How do i develop telekenesis?	0
who reads the bible?	0
When I pass under street lights, they go out...often this will happen in parking garages too.?	0
"what do you think someone means when they say ""sinners such as you..""?"	0
If you are suffering, does God choose to not help you or can't he help?	0
Are you content?	0
does anyone think christians are white trash or other ethinic trash?	0
is there a good way?	0
Do you think life is decided and whatever happens had to happen?Or do you think that you control your destiny?	0
Monogamy???	0
where can i find offensive commericals?	0
In the Islamic religion, who was Allah?	0
who  lives in new york?	0
what is 250% more than 200?	1
what are the branches of chemistry?	1
How was the first ever clinometer & what were its components?	1
what causes high and low tide?	1
what's the diffrences between paramagnetic and diamagnetic force?	1
Born to Virgin? do you really bl eave that Jesus was  or  a story was created to hide the truth from stoning?	1
2 Zn + 02 --- 2 ZnO. This tells us that 1 mole of Zn produces 1 mole of ZnO. Am I right?	1
Can you figure out the Fibonacci  Sequence?	1
How come the weather in San Fran is so different from that of Washington DC?	1
Does lightening strike water?	1
How did supposedly recessive genes become dominant among people of northern European descent?	1
Can anyone tell me about a Dr. Bleuzer?	1
mechanism of b cell of immune system?	1
how do use my blood type to make a punnett square?	1
notes for biology students age 16?	1
what are the three physical properties of ionic solids that are linked to ionic bonds?	1
what is the course of hyperactive salivation and the remedy.?	2
cocaine use????????	2
Do you think I am a handsome person?	2
Mens Nipples ?	2
blackheads on my back shoulders and gradually into arms, can anybody suggest medicene.?	2
What is the ratio of HIV/AIDS victims in Mississippi?	2
What is the best face wash for oily, acne prone skin?	2
can acid reflux keep you up  at night, is it that bothersome?	2
Contact Lenses Solution taken off market?	2
Losing Weight?	2
Is weed addcive or just a habit?	2
how do you stop a hiccup?	2
What do you all think of this??  Cell phones cook eggs??  Is this true??	2
i drink over a gallon of water a day. is that healthy? does it indicate a health problem?	2
Why has my 13 1/2 year old male american eskimo dog continusally have seizures all of a sudden?	2
Can not paying your medical bills affect your credit rating in North Carolina? What else can it affect?	2
What is a 42 sided polygon called?	3
Kindly display the child care hospital, children hospital in chennai?	3
Could someone please give me an example of a backword syntax used in a sentence.?	3
what do ancient egypt houses look like ?	3
what is chordata?	3
what are some objects made by forging?	3
Does anybody know about a judge named Oscar Adams?	3
Can anyone help?	3
Do you agree or disagree with the following statement?	3
who read sea wolf by jack london?	3
Am I making my navel feel self-conscious?	3
What was it like in London 1872?	3
Is it worth it to study musical theatre in England, instead of in the U.S.?	3
I can't understand these, can you explain these to me?	3
Does anyone else know how to become an astronautical engineer??	3
i need a good site to find info on the assassination of president lincoln!!!!!! im doing a reaserch paper!!?	3
windows media player11?	4
Is copying a JPEG onto a Music CD as good as onto a Data CD?	4
how do I get on onto my computer without a password?	4
I entered the wrong cell phone number when it asked if I would like to receive emails.  How do change number?	4
"My wireless enabled laptop shows ""signal strength excellent"". yet I cannot get online.?"	4
What is the difference between an E-commerce web site and a non E-commerce web site?	4
Is there a punishment from sites to people under 18 that view (or have a membership) to their or any  pornsite	4
Out of the following Laptop makers, who do you think makes the best laptops?	4
How much of my available RAM am I using?	4
Which proxy server is best in performance?	4
I haven't recieved a message from yahoo member sevices?	4
How can a computer system with multiple processors be scheduled using advanced operation research techniques?	4
How can install 'Black and White 2' on my computer?	4
Email from My Space, what a load of crap!!?	4
Why is the arrow which represents the mouse on screen tilted to the left but when its the hand it is not?	4
how does one stop oneself from being booted out of a chat room?	4
hows baseball?	5
which country is the 1st country to win the fifa world cup award and what year?	5
possible to spray paint blank painted skateboard deck and trucks?	5
who is instrested in swimming?	5
Should gurls race go-karts?	5
