sentence	label
like a bad improvisation exercise , the superficially written characters ramble on tediously about their lives , loves and the art 	0
degraded things 	0
the resourceful amnesiac 	0
poignancy jostling against farce , thoughtful dialogue elbowed aside by one-liners , and a visual style that incorporates rotoscope animation for no apparent reason except , maybe , that it looks neat 	0
stunt-hungry dimwits 	0
a puppy dog so desperate for attention it nearly breaks its little neck trying to perform entertaining tricks 	0
it 's stuffy and pretentious in a give-me-an-oscar kind of way 	0
throws a bunch of hot-button items in the viewer 's face and asks to be seen as hip , winking social commentary 	0
why it fails is a riddle wrapped in a mystery inside an enigma . 	0
is merely a charmless witch . 	0
a clash between the artificial structure of the story and the more contemporary , naturalistic tone of the film ... 	0
he does not give the transcendent performance sonny needs to overcome gaps in character development and story logic 	0
instead , it 'll only put you to sleep . 	0
asks you to feel sorry for mick jagger 's sex life 	0
the movie 's ultimate point -- that everyone should be themselves -- is trite 	0
rodan is out of his league 	0
the lazy material and 	0
mad love does n't galvanize its outrage the way , 	0
messy , uncouth , incomprehensible , vicious and absurd 	0
an odd show , pregnant with moods , stillborn except as a harsh conceptual exercise 	0
it seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little . 	0
routine is offensive , puerile and unimaginatively foul-mouthed if it was at least funny 	0
the action here is unusually tame , the characters are too simplistic to maintain interest , 	0
another genre exercise , 	0
overwrought ending 	0
digitally altered footage 	0
a sloppy slapstick throwback to long gone bottom-of-the-bill fare like the ghost and mr. chicken . 	0
the worst films of the summer 	0
intentionally low 	0
wildly overproduced 	0
the obnoxious special effects , the obligatory outbursts of flatulence and the incessant , so-five-minutes-ago pop music on the soundtrack 	0
even the corniest 	0
the lively appeal of the last kiss lies in the ease with which it integrates thoughtfulness and pasta-fagioli comedy . 	1
of the solomonic decision facing jewish parents in those turbulent times 	1
will amuse or entertain them 	1
of its execution and skill of its cast 	1
truly gorgeous 	1
of the quality that keeps dickens evergreen : the exuberant openness with which he expresses our most basic emotions 	1
come by once in a while with flawless amounts of acting , direction , story and pace 	1
takes a fresh and absorbing look 	1
's always enthralling 	1
most complex , generous and subversive artworks 	1
, this makes for perfectly acceptable , occasionally very enjoyable children 's entertainment . 	1
eloquently about the symbiotic relationship between art and life 	1
good actors 	1
, kissing jessica stein is one of the greatest date movies in years . 	1
the best straight-up 	1
a good documentary 	1
working from a surprisingly sensitive script co-written by gianni romoli 	1
spirit is a visual treat , and it takes chances that are bold by studio standards 	1
a coming-of-age movie that hollywood would n't have the guts to make . 	1
a child 's interest and 	1
beautifully produced 	1
one film 	1
more entertaining , 	1
's really so appealing about the characters 	1
13 conversations about one thing '' is an intelligent flick that examines many different ideas from happiness to guilt in an intriguing bit of storytelling . 	1
the origins 	1
most ardent 	1
relies on subtle ironies and visual devices to convey point of view . 	1
it also has a strong dramatic and emotional pull that gradually sneaks up on the audience 	1
the phenomenal , water-born cinematography 	1
poetry in motion captured on film . 	1
is a story that zings all the way through with originality , humor and pathos 	1
