	sentence	label
0	initially reluctant to help , daniel 's conscience eventually gets the better of him .	0
1	during an undercover drug buy mitch was working that trey botched by calling in for backup and drawing media attention , mitch 's partner is shot with a very exotic 12-gauge automatic weapon ; mitch then shoots the video camera out of the hands of a reporter filming the action when the cameraman refused to shut it down .	0
2	refusing at first to open up , the young man eventually breaks down and reveals a horrific childhood .	0
3	along the way , he meets a long line of interesting and colorful characters , while back at home , ada is learning the ropes of managing her deceased father 's farm with ruby ( renee zellweger ) , a scrappy drifter who assists and teaches ada along the way .	0
4	a new reality-style game show , `` treasure hunt `` has invited a cast of contestants , including a los angeles cop who 's joined to try and make up for an earlier pr blunder , to a tropical island to hunt for a buried treasure worth ten million dollars .	0
5	area k is an israeli controlled marine zone isolating the gaza strip and preventing palestinian fishermen from entering israel , egypt and international waters .	0
6	451 tries to help kyle adjust to this unfamiliar and violent world but kyle is a man destined to fight his own battles .	0
7	peter must relive this brief moment at the party until he gets it right and wins jen 's heart .	0
8	three astronauts crash land on an earth-like planet after returning from a 7-year long expedition to ganymede .	0
9	in the meantime , the british forces , back at the encampment , march off to meet the american forces for a grand battle , which will rage for hours .	0
10	unfortunately , the insurance would not cover his son 's transplant .	0
11	ultimately , quinn rescues tasha from the hands of another assassin and takes her into his protection .	0
12	for once the kids do n't let sam down - and they 're not likely to forget the lessons they 've learned .	0
13	jordan is a mom who is on a life long search for true faith as she tries to protect her only child from what she believes is injustice .	0
14	this temporary city is the 6th largest in nevada .	0
15	seeking a mental escape , simone begins to tune into what 's happening with the other couples around her .	0
16	charlie beck is a handsome british charmer , he arrives in a vintage sports car and woos sally until he sweeps her off her feet .	0
17	what if he escaped with the intention of joining all those other nazi evil-geniuses in sun-soaked south america ?	0
18	an eager young englishman is dispatched to sarawak to become part of the british colonial government , encounters some unorthodox local traditions , and finds himself faced with tough decisions of the heart involving the beautiful young selima , the unwitting object of his affections .	0
19	victor ( leguizamo ) , is trying to escape his life as a drug dealer in the south bronx .	0
20	for the next 2 1/2 years , these outrageous drag performers created 20 shows with titles like `` a crab on uranus means you 're loved `` and `` tinsel tarts in a hot coma , `` and were featured in four underground films .	0
21	adam miauczynski , the character known from director marek koterski 's previous films , is a 44 year-old teacher , who reads poetry during school lessons and later goes home swearing and calling his neighbours ' names .	0
22	it is 1492 , and spain has decreed that all jews must either convert to catholicism , go into exile or face trial and execution .	0
23	he can do anything but when he discovers others in buffalo who are praying , he learns that maybe this job of being god is n't really that easy .	0
24	`` bad santa `` is the story of two conmen who go on a road trip to malls dressed as santa and his elf .	0
25	he can not concentrate on his job nor on his studies , being continuously mindful of his girlfriend and concubine ana 's ( dolores fonzi ) whereabouts and activities .	0
26	charlie decides it 's time to take action to recover his lost love : he secretly befriends her new boyfriend and attempts to sabotage their relationship by introducing temptation , mistrust - and jennifer . . .	0
27	while grieving along with her parents and drawn into legal issues presented by a district attorney seeking justice for the family , he finds himself falling in love with another woman , against his own best intentions .	0
28	christin has been working at a hotel owned by budcasso , her friend 's fianc & # 233 ; .	0
29	ever notice the similarities between steve `` the crocodile hunter `` irwin and boba fett ?	0
30	a close acquaintance overhears their conversation , and , promised a fee , reports the win to max ( david winburn ) , smooth-talking but deadly leader of a hoodlum gang , who sends his beautiful paramour , cindy ( kelly taylor ) , to seduce jose , if necessary , to get her hands on the winning ticket .	0
31	while gertie is able to manipulate ollie with the finesse of an adult , she is ultimately daddy 's little girl .	0
32	it treats us to beautiful insights and tragic struggles that swell the heart and make us feel genuine empathy for two people embracing the truth amidst a pack of lies .	1
33	the movie wavers between hallmark card sentimentality and goofy , life-affirming moments straight out of a cellular phone commercial .	1
