sentence	label
"This review is only for the Coronado Caf\u00e9 in the South Point Hotel which offers around-the -clock dining. For some time the restaurant has been promoting its $12.95 prime rib dinner as a \""House Special\"".\n\nThis was hands down the WORST prime rib I have ever had. We came here on the recommendation of Anthony Curtis' Las Vegas Advisor website where it was described as a \""the big slab prime rib\"". That was hardly a fitting description. The slice of prime rib I received was cut in a wedge shape. The wide edge was about  1/2\"" thick and the opposite edge tapered down to zero. Nearly half of that was fat and gristle. What remained was simply flavorless. It came with a baked potato which was served lukewarm. The salad and rolls were okay but rather ordinary. Service was slow and we waited a very long time just to get menus before we could even order."	0
"Basically the negatives from other reviews is true. Customer service is pretty bad. The menu is not complete and there are no photos, so it's difficult to order if you're unfamiliar with Japanese food. Yes, I had to walk all over and look at the other items posted on the wall with photos--felt like I was intruding on other patrons at their tables but.....\nYou could say that the price is pretty cheap. Maybe I didn't know how or what to order, but the food was no big deal. The honey toast dessert is no big deal either. Yes, there are young waitresses there, like the other reviewer mentioned. If you've got \""yellow fever\"" you'll probably like the waitresses and their poor customer service skills."	0
I just received my third HTC phone from Verizon.  The first one (new, supposedly) quit in about two weeks, the second one lasted about 4 months and wasn't even programmed to talk to cell towers., I had to do myself while a rep walked me through this very technical procedure. As for third phone, I called a rep and they directed me to a store, so I went to this store.  The sales rep, an older man, was very patronizing, and said he would order replacement which I would receive the next day. That did not happen and when I called Verizon, I found that he had never placed the order. The order was placed with the Verizon phone rep and did get today.  I pleaded with them to be able to change to a different brand, but was told that couldn't happen. The store manager was very rude when I tried to explain re the phone not being ordered and his attitude made me realize just how little individual customers mean to Corporate America.  Anyway, here I am on my third phone in six months.  Wonder how long this one will last?	0
Horrible customer service!  Store very unclean, something I over looked for a few visits, but when customer service went south, that was it!  AND my poor dog never got a drink of water hen he was there!  Never again!	0
Absolutely terrible experience. We sat down on a Saturday night after calling ahead to make sure there was a table for four available. The restaurant was busy, but not full. Our bottle of wine took about 7 minutes to arrive to our table. After we ordered, we waited waited and waited. 50 minutes after we ordered our food, we asked the waiter to bring our check, as we were running short on time. Our server informed us that the chef hadn't even started our food yet. He then handed us our tab for our bottle of wine and our table bread. They couldn't even comp the bread and wine? We waited for nearly one hour! As we were leaving, there were about 5 other table available in an otherwise small restaurant. There was no reason it should have taken so long. Extremely disappointed.	0
I just got here. Just arrived in the room and am abhorred at how terrible the room is. As my boyfriend is calling to switch hotels, I am writing this yelp review.\n\nFirst off, the room is terribly overpriced. For what this is, we should've paid $20/night.  The elevator and hallways are dilapidated. The bed cover has stains on it. There is popcorn and trash left under the bed. We can hear loud music from the strip below; I have no idea how people sleep here. The lady at the desk warned us that we could hear the music, but I didn't think that meant CLEARLY and LOUDLY. \n\nAt least offer ear plugs. \n\nDon't stay here. Ever.	0
The worst service ever.\n\nI was staying in the Charlotte Marriott - where Savannah Red is located - for the Democratic Convention. I worked on events at both Conventions having come from Tampa where the Republicans held theirs. I'd been in the concierge lounge with a couple friends where I'd had 2 drinks. We made our way down to the restaurant and sat at the bar to grab something to eat before we set out on our evening. We were having a fun conversation and laughing and when we ordered,  I was told I was cut off from having more to drink. Not my two friends but just me. It was the most bizarre thing ever. Never, ever had that happen. I was not drunk or unruly and the waitress and the manager refused to listen to reason. I wouldn't go back here if it was the last place on earth to eat.	0
Menu sucks, food blah! I'd rather eat at taco bell, and I don't even like taco bell. Crappy overpriced food and terrible service.	0
"We had the worst experience with this place! My husband's alterations were dropped off and paid on July 2013, additional alternations were needed, and therefore he left his suits to be picked up on a later date.\n\nFirst Trip: My husband works abroad, therefore I went to pick up the alterations on  August 2013, with a receipt marked PAID.  The lady (owner) stated the alternations were not paid and refused to relinquish my husband suits, even with the receipt marked PAID.  Her theory: if the other two carbon receipts were not marked PAID, the transaction did not occur.   \n\nSecond Trip: My husband was very adamant about the fact that he paid and he reassured me. I went back to the shop and asked if she could research her records plus the receipt was marked PAID.  She refused to relinquish the suits; she was very rude and basically ignored me. \n\nThird Trip: Now, I am second-guessing my husband, because this is asinine. However my husband has a great memory and he deals with numbers all day therefore I attempted to visit the shop again.  She still refused to relinquish the suits. I asked again if she could \""please\"" check her financial records, check the register...anything... I just want to pick up my husband suits. \n\nStill no suits...my husband spent some time checking our bank statements and there was a payment of $114.00 made on July 5, 2013 with a reference number from Matthews Alterations.  My husband immediately called the owner, she told him, the police had his suits.  I called the lady and stated we had proof we paid and I can swing by and bring our statement...she immediately cut me off and said she was going to call the police and that his suits were at the police station. She also mentioned we didn't want to pay for the suits we just wanted a free service.  \n\n After the phone call, I had a police officer call me and asked if I could meet him at the shop.  I arrive at the shop and there were two squad cars. I showed the police  proof of payment as well as well as the owner. She then tried to say my bank statement wasn't real, wanted to copy my bank statement (which is illegal) and just because the word \""PAID\"" was not written on her calendar marked July 5th the payment was not real.   The police officer had to reassure her the bank statement was legit.  \n\nLong story longer...the look of total humiliation on her face was indeed priceless.  At each attempt, my husband and I were never disrespectful, and kept every visit professional. She was very rude, unprofessional, voided my existence, and lied about the suits being at the police station.\n\nHer bookkeeping is antiquated and suspicious and the shop is filthy! This could have been resolved in a timely manner, saving me gas, my time, and wasted tax dollars for calling Matthews Police department if she just would have provided me with Customer Service 101 by researching her financials.  She needs to be audited by the IRS!"	0
Wow with so many people working here you would think that it would be easy to get service. But think again!\n\nI recently went in to purchase a small but $100 item, and obviously me looking young and asking for help on a small dollar item (small compared to the over priced furniture) didn't warrant any attention. \n\nI asked for help and one salesman said he would find someone to help me, so I take it they are limited to what items they can sell or get commission on. After he said this I watched him not tell a sole that I needed help and then never came back. So next another salesman in front of me started talking with another salesmen's client about gambling, and when I said excuse me (when he stopped chatting) he made eye contact, then walked away...again probably not his dept., but wow not even acknowledge me.  \n\nLastly there were 3 salesmen in the dept I needed help with, they were with clients, all within 10 feet of me, and not one of them said they eventually would help me, or even make eye contact.\n\nSo I left after 20 minutes, I do not believe in having to fight to give anyone business.	0
Beware Sonora Quest billing department! I do not use this word lightly, but I can safely say that I HATE Sonora Quest. I tried to use their online system to pay a bill for myself and one for my child. Their system somehow ran the charge though FIFTEEN times, maxing out our HSA card, and still not paying the bill. After countless phone conversations with them and our HSA card company, it was determined that our HSA company should send them a check, which they did. I called back to ensure that they received the check, and they told me they did. That was in December. Then yesterday (this is now May) I got a notice from a Debt Collection company for $3.53. I called Sonora Quest, and after digging through our account, turns out they failed to apply the $3.53 to my son's bill because my HSA company did not put two Accession numbers on the check! They refunded our card $3.53, then according to them sent us SIX notices for that amount, but we haven't received even one thing (I flat out called them liars), and sent it to Collections. The woman on the phone tried to blame me for not getting my HSA company to put two accession numbers on the check, blame the HSA company for not putting two accession numbers, ludicrous!!! I stayed on the phone until I got her to accept accountability and apologize. A good company recognizes when they make a mistake, accepts accountability and apologizes. They don't try to blame everyone else. Ultimately she admitted that their billing department should have cross referenced our accounts to see if the $3.53 was part of our charges. Ya think??????	0
Went in for a haircut. Nice place. Multiple barber chairs. 1 barber. He seemed irritate that I showed up at 2pm on a Monday. Told me I MUST have an appointment to be seen, which wouldn't be for several hours.  I won't be visiting that place again.	0
Okay, Let me just say....I'm not sure if it was food poisoning, or I coincidentally came down with a stomach bug 4 hours after eating their pizza.....but after my 36 hour adventure with my toilet and the bathroom floor, I can't say I'm willing to give this place another shot....not to mention the pizza really wasn't even worth my misery.\n\nSo, the pizza itself. I got the spinach trio (comes with spinach, tomato and feta cheese). It was a thin crust pizza, and there was waaaaaayyyyyyy too much mozzarella on this thing. The cheese was at least 1/4 inch think. This wouldn't be a problem it it was on an appropriate thickness crust. The poor thin crust just couldn't hold up all that cheese and was floppy and soggy. The was also a strange smokey flavor to the pizza, which I just don't get. Plus, there was hardly any spinach at all on the pizza. \n\nOn the plus side, the girl working the counter was very peppy and nice. \n\nSo, if your going to try this place, I recommend skipping the spinach trio...maybe it was the feta that poisoned me.....good luck, I hope you have a better experience that I....if you're the brave type.	0
