sentence	label
cameroon and its peoples are the lark , its feathers plucked first by colonialism and then by native strong-men : `` alouette , je te plumerai . ``	0
the story encompasses social degradation , unemployment , racism , casual violence , excessive drink and bad sex - and how they fall into a political context .	0
he falls for hunky diner owner matt , who falls just as hard back .	0
he discovers that his friend has gone into business , and is successfully breeding black chickens .	0
`` what 's more important your experiences or your memories of them ? ``	0
this fairy tale beginning freefalls from happy to disastrous as the newlyweds are besieged by emotionally challenged children , a savagily jealous ex-wife and a drunken dad .	0
but when charlie sees mallory with her new boyfriend , curtis , charlie realizes he 's been replaced .	0
blessed encompasses the lives of four women who are inescapably involved in a brothel at the centre of the plot .	0
it 's a shame that pokemon 4ever 's dialogue is so trite and flatly delivered because the tale itself presents serious ideas worthy of more poetic language .	1
well-acted , well-directed and , for all its moodiness , not too pretentious .	1
lindberg demonstrates a remarkable sense of place , a keen understanding that emotions are boiled into a concentrate , not diluted , in the rural setting .	1
an off-beat and fanciful film about the human need for monsters to blame for all that is amiss in the world .	1
the first shocking thing about sorority boys is that it 's actually watchable . even more baffling is that it 's funny .	1
the lion king was a roaring success when it was released eight years ago , but on imax it seems better , not just bigger .	1
the dialogue is very choppy and monosyllabic despite the fact that it is being dubbed .	1
hoffman 's performance is authentic to the core of his being .	1
