sentence	label
she comes from nothing and finally gets everything , but . . .	0
cameroon and its peoples are the lark , its feathers plucked first by colonialism and then by native strong-men : `` alouette , je te plumerai . ``	0
each of the principals has a radically different way of dealing with it .	0
no matter how hard you run from the past , it has a way of catching up with you .	0
based on actual accounts , the untold is the story of harlan knowles ( lance henriksen ) , billionaire and president of bio-comp industries who heads up a team of experts in a quest to locate a company plane that disappeared over the remote forests of the pacific northwest .	0
the story encompasses social degradation , unemployment , racism , casual violence , excessive drink and bad sex - and how they fall into a political context .	0
tellis teams with henry oak , a friend of the dead narc and an aggressive cop constantly under the scrutiny of internal affairs .	0
he falls for hunky diner owner matt , who falls just as hard back .	0
he discovers that his friend has gone into business , and is successfully breeding black chickens .	0
with the support of her best friend wilma watson and their draft-dodging companion will bacon , emily is able to stand by her convictions in a household dominated by the standards of a salt-of-the-earth father and an unconditionally loving mother .	0
`` what 's more important your experiences or your memories of them ? ``	0
this fairy tale beginning freefalls from happy to disastrous as the newlyweds are besieged by emotionally challenged children , a savagily jealous ex-wife and a drunken dad .	0
nicole goes through the ordeal of communist prisons , conflicts and risky activities , and manages to provide a heartening example for the other inmates .	0
but when charlie sees mallory with her new boyfriend , curtis , charlie realizes he 's been replaced .	0
now the monk must look for a new scrollkeeper .	0
blessed encompasses the lives of four women who are inescapably involved in a brothel at the centre of the plot .	0
it 's a shame that pokemon 4ever 's dialogue is so trite and flatly delivered because the tale itself presents serious ideas worthy of more poetic language .	1
well-acted , well-directed and , for all its moodiness , not too pretentious .	1
though intrepid in exploring an attraction that crosses sexual identity , ozpetek falls short in showing us antonia 's true emotions . . . but at the very least , his secret life will leave you thinking .	1
lindberg demonstrates a remarkable sense of place , a keen understanding that emotions are boiled into a concentrate , not diluted , in the rural setting .	1
even though the film runs a brief 71 minutes -- finishing off with footage of reno talking with new yorkers on the street in the aftermath of 9/11 -- reno shows enough gusto to make you a fan .	1
an off-beat and fanciful film about the human need for monsters to blame for all that is amiss in the world .	1
one of those rare films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them .	1
likely to expertly drum up repressed teenage memories in any viewer .	1
maudlin and melodramatic we expected . boring we did n't .	1
the first shocking thing about sorority boys is that it 's actually watchable . even more baffling is that it 's funny .	1
provides a satisfactory overview of the bizarre world of extreme athletes as several daredevils express their own views .	1
a profoundly stupid affair , populating its hackneyed and meanspirited storyline with cardboard characters and performers who value cash above credibility .	1
the lion king was a roaring success when it was released eight years ago , but on imax it seems better , not just bigger .	1
the dialogue is very choppy and monosyllabic despite the fact that it is being dubbed .	1
a poignant lyricism runs through balzac and the little chinese seamstress that transforms this story about love and culture into a cinematic poem .	1
hoffman 's performance is authentic to the core of his being .	1
