premise	hypothesis	label
A young man with a leather jacket walking by a man who seems like having trouble with his poorly constructed shopping cart.	The young man is wearing a jacket.	0
Two men work on girls bike in front of garage.	Humans working	0
Woman cleaning a desk in a dilapidated building.	A woman is cleaning in a run down building.	0
A soccer player looks to maneuver around the opposing goalie who is diving for a steal.	There is a soccer player running.	0
A young woman is working behind the counter at a restaurant.	A young woman is at work.	0
A young man has a cigarette in his mouth and is wearing a nun's habit.	A young man in a nun's habit is smoking.	0
Concentration campsite.	A concentration camp.	0
A chef and his newest creation in process, being made in an old fashioned oven.	A chef creates.	0
Two boys paddle across the water with fishing nets, one wearing a long-sleeved yellow shirt and the other wearing a baggie hoodie.	The two boys caught some fish.	1
A small boy is listening to headphones is front of a building, with a soldier in the background.	A young boy listens to the newest pop music in front of a building.	1
A young woman dressed in black and another with purple hair hold up signs offering free hugs.	The woman wants to make people feel good	1
Woman in short-sleeve purple shirt pushing button on street.	The woman is pushing a crosswalk button	1
A man in an orange vest is riding on an escalator.	A repair man in an orange vest is riding on an escalator.	1
A man is shining shoes in a marketplace.	A man is tending to the shoes of a man in a suit near a fruit seller.	1
An overweight woman and man have upset faces as they sit on a bench.	A married couple sitting on the bench mad at each other.	1
Man dressed in drag pointing at his open mouth.	The man in drag has on a wig.	1
A guy in a suit playing bagpipes next to a girl wearing teal clothing.	A woman plays with her dog.	2
The black and brown dogs play in the snowy field.	The dog does not like the coldness of the snow.	2
A mother is kneeling with her child with rocks in the background.	A man kneels next to his child.	2
a man wearing black, speaks into a microphone, while a woman writes.	The captain of the ship is yelling in a storm that has drenched him in rain.	2
large man in black shirt next to police officer walking away from man in blue shirt and backpack	The police officer is eating donuts with his feet while the two men walk away together.	2
A snowboarder in white soaring through the air.	A woman skis down a mountain.	2
A man wearing a green jacket and ear protection stands on the street.	A man wearing a green jacket has no ears while he is standing in the street.	2
A lady and young girl sit at a restaurant together.	A lady and a girl sit at home while a man cooks dinner	2
