premise	hypothesis	label
a white dog runs along the beach	The dog is outside.	0
A man in a blue canoe paddling in the ocean.	There is a person in a boat.	0
One bear has fur that sticks up on its back resembling a mohawk.	The bears fur resembles a mohawk.	0
A biker takes a drink of water.	The man is drinking water.	0
Before onlookers in a park, a man in a black shirt and rollerblades slides backward down a railing.	A man is sliding down a railing.	0
Two older people talk in a group of people.	Two people are speaking to each other within a larger group.	0
A man holding giving a lecture.	A person gives a lecture.	0
A man sleeping on the couch.	A man is sleeping.	0
Dark nightclub with chairs.	A night club with places to sit.	0
A small girl wearing pink is bending over to read the inscription on the statue.	The girl is reading the statue.	0
An adult and a child walking on the sidewalk next to a large building with graffiti.	A building has been vandalized.	0
A man and woman wearing sunglasses are window shopping.	At least two people are wearing sunglasses.	0
A group of men are at a college fair carrying white bags and backpacks.	A group of men are carrying lots of bags.	0
I young girl is blowing a bubble with gum.	A girl has gum in her mouth.	0
Construction worker in rain gear pausing.	A worker in rain gear.	0
A man is holding a saxophone in a public place as a woman and a child walk by in the background.	Live music is being played.	0
An elderly woman cutting fruit at a market.	The elderly woman is in the market.	0
A hand holding a cellphone taking a picture of a man with glasses.	Someone is taking picture of a man with glasses.	0
Basketball players in the middle a game with the main subject jumping up to retrieve the ball.	People are are playing a sports game.	0
People eating at a French restaurant.	There are people having a meal.	0
A woman works a traditional loom to make a rug.	A person works a traditional loom to make a rug.	0
An older man wearing a chinese outfit shooting a large bow at a target	A man wearing a chinese outfit shooting a large bow at a target	0
A young female wearing a softball uniform and glove jumps into the air while holding a ball.	A girl wearing a softball glove jumps up.	0
A baby in a blue shirt is in a swing.	A baby in a shirt is in a swing.	0
A baseball game is underway and there is an audience watching the game.	An audience watches a baseball game.	0
Deli workers hand paper plates of food across a counter to customers.	The deli workers are serving the people.	0
A person is riding a skateboard in the air above a ramp.	the person is doing a trick	0
A woman is on the ledge of her window next to a clothesline, while a child stares out the window.	Two people are near windows; there's a clothesline outside	0
A skateboarder in a ty-dye shirt going down a ramp.	The skateboarder is in a ty-dye shirt	0
A young person in black pants and a brown fedora uses their mobile device on a city sidewalk.	Someone is standing outside.	0
A person leans against a stone bench outdoors staring up at the sky.	The sky is above the person	0
A man in a top hat playing the accordion.	A musician is playing an instrument.	0
Many cameras are set up against a barricade.	The cameras are monitoring people.	1
Young man is skating on a road; on a sunny day.	A teenager is skating fast on a road.	1
A man in shorts is shoveling snow.	The man is feeling overheated from his work shoveling snow.	1
Two people embrace outside of a red car at night in a brightly-lit city.	A man an his wife hugging after a date.	1
A black and white dog is going through an obstacle course.	a dog is racing through an obstical course in May	1
Six topless men standing on a balcony.	Body builders show their upper bodies to the crowd that formed below their hotel room's balcony.	1
Restaurant workers clean up a dining area.	There are female workers cleaning.	1
A dog holds a stick in its mouth in the water.	A dog has a stick that its owner threw.	1
A man in a blue shirt and glasses is sleeping in the car.	The man is sleeping in a Toyota.	1
An event is taking place outside.	Someone has balloons.	1
a boy with red soled shoes is playing on a swing.	A child is playing in the park	1
A person wearing a short-sleeved light blue shirt over a long-sleeved white shirt and blue jeans is holding a long-lensed camera to his face while standing next to a red colored railroad car.	This person is a professional photographer.	1
Two men are sitting in chairs and looking at books.	Two men reading books about how to hit on other men at the library.	1
Backyard jump pose that looks ninja like as two friends pretend to fight among green garden set ups.	The two boys are practicing for a play in which they will portray Ninja masters.	1
A woman weaves yarn as a child watches on in the background.	The child is the woman's grandchild.	1
A soldier dressed in combat gear scales a wall to join his fellow comrades on the other side.	The soldiers are at basic training.	1
Four shirtless men are working on a building.	The men are sweating profusely.	1
A dancer performs some gymnastics with a hula hoop before a panel of women.	The dancer is a woman	1
Several people are riding on a roller coaster while reacting to going through a loop in various ways.	The people are enjoying the roller coaster as it goes through loops.	1
Kid playing old school game on an old pc.	A blonde person playing	1
A young boy turning the wheel on a merry-go-round.	A boy is playing.	1
Five people are sitting in front of the ocean.	Five people are watching the waves.	1
Sweaty drummer in a Celtics jersey playing the drums.	The sweaty drummer is a big Celtics fan.	1
A boy and girl are kissing by a lake.	They are in love.	1
A baker is making cookies on a large pan.	A baker fills an order for three dozen cookies.	1
A number of people in white cowboy hats are sitting on horses and talking, while a man in a black cowboy hat sits on a nearby fence.	cowboys talk cow-logistics	1
A man in a blue shirt runs under a blue road marker in a race.	A man runs through a race in green pants.	1
A teenage boy is jumping on an inflatable slide.	A teen is jumping on an inflatable slide at his brothers party.	1
A man is hauling something out of the water into a small boat.	A person hauls something out of the water with a boat.	1
A woman in a red jacket is sitting on a cement block.	A woman is sitting outside.	1
Three boys on a hiking trip.	The boys are hiking for two days	1
A man in black oxfords, jeans and a layered green over black shirt, jumps in front of a run down industrial building.	A man jumps in front of a building because there is an explosion nearby.	1
Two guys riding skateboards with one of them performing a jump trick.	Two guys hanging in their room.	2
A man in a suit dozes on a park bench, with a sign for the subway in the background.	The man is fully awake.	2
A little girl in a pink bathing suit swimming in a pool.	A little girl is climbing a tree unsupervised.	2
A black and white dog is jumping up to catch a toy as another dog watches.	a cat watches another cat jump to catch a toy	2
Two women are looking very confused trying to put together an item from the box.	They are taking a nap.	2
Four older men sitting on a blue patterned rug in an ethnic looking place of worship, 3 of them wearing some sort of head covering.	Four men are rapping at a concert	2
A large group of teenagers standing around some are wearing uniform other are dress in their regular clothes.	Some adults are wearing work clothes.	2
A man is walking in front of an older home without any paint on it	A man poses in front of a freshly painted building.	2
Three policemen confer around with an obscured person near a traffic signal.	a horse race at the track	2
A child climbing up a set of cement stairs.	A child climbing on a jungle gym.	2
A man is standing in front of a woman while eating something.	A man shakes hands with the pastor.	2
A young girl is walking down a sandy path by a large body of water.	A girl is walking through a door.	2
band doing a concert for people	a band is playing football	2
Man with black hat, white shirt and sandals, laying bricks on a construction site.	The man in the black hat is dressed for a wedding.	2
Man laughing and talking on cellphone outside.	A man writes a letter.	2
Many bicyclists racing along a dirt road.	The car racers went very fast.	2
A man with a braided bandanna stands behind a drum set.	A person is playing the flute.	2
A male on a balcony looks through a telescope to see the seaside city.	A male looking through the window of his Bugatti.	2
An orange truck is driving down the street in front of a white building.	A motorcycle is parked in the garage.	2
A freckled girl wearing a yellow shirt sipping a drink through a straw.	The freckled girl is wearing a maxidress.	2
A man in a blue shirt is cutting up his food.	blue shirt man making foo	2
