sentence	label
would you wear a bikini?	0
do you give money to homeless people and beggers when they ask?	0
when was the last time you broke the rules?	0
What are your views on the following...?	0
Is it possible to be so obsessed with dying that one forgets how to live?	0
Do you believe in GOD. If Yes - Why ? ---If No - Why ?	0
can psychologists really help people?	0
How I can avoid MTI(Mother Tongue Influence) while speaking English?	0
Does Jesus really love me for who I am ?	0
Traits of Sex addict..?	0
Why did india Reject Buddhism?	0
what's your pet's name?	0
Can a born again christian practice yoga?	0
What  should I do about the guy who just got outta prison for murdering my 2 yr. old daughter?	0
Do you feel uncomfortable about calling in sick for work? Do you get someone else to do it for you?	0
why in this forum there  lots of stupid and silly questions are asked??	0
What is the inverse of f(x)=e^x?	1
how do they process dolomite?	1
How did the NASA's aeroplane manuoeuvre to simulate the NO GRAVITY environment for training astronauts ?	1
south louisiana?	1
Why is humidity always very low inside your kitchen freezer?	1
how can the nervous system effect other systems through out the body?	1
why does the magnetic field lines move only from south to north and not from north to south?	1
another iodine and microscope question?	1
where do we get electricity?	1
What do you think about being an organ donor?	1
Why is the sky blue?	1
Paradoxes of Motion? Who can argue?	1
Should doctors increase or decrease the period of antibiotic treatment for bacterial infections?	1
does anyone have a formal defintion of what gears with lateral offset means?	1
Solve 0=2-2x-x^3?	1
which scientist devised the following formula: E=mc2?	1
What does the female do in sex?	2
what size penis is perfect???	2
What is the best way to loose 15 pounds in 4 weeks?	2
What 3 most imp things a man should keep in mind when his partner is approaching orgasm? Only ladies answer.?	2
Reducing smoking....?	2
how can u get 6 pack really fast?	2
reasons for frequent stomach aches and diarrhea?	2
Is rice healthy?	2
What can you recommend for allergies?	2
i neeed braces?	2
delayed ejaculation?	2
A question about relacore?	2
What is the actual name for the condition of having no sense of direction?	2
Why does my girlfriend smell so nasty down there? Is this normal? How can I help without embarrasing her? HELP	2
How to deal with my grief after 24 years?	2
What does adequate mean?	2
How do I quote a quote in a story?	3
does any1 know some history on argenitina or uruguay, if so: let me know?	3
Any ideas for a semester project for my journalism class?	3
"What does the term ""tenfold"" mean?"	3
any high school online classes that i can take for free? or that i can get my degree?	3
I the legal assistant career more suited for females or males.?	3
Any suggestions on how to disipline a child that doesnt apply their self in school. Serious suggestions please	3
"What does ""WTFWJD"" mean?"	3
How on earth do scientists know we dream in black and white ?	3
When did World War 1 start? When did it end?	3
im tring to find songs for children that have the muscial sheets to them?	3
why is the Brooklyn Bridge being built the most significant from 1870-1917?	3
Why software piracy is something that should concern everyone?	3
"Who said that ""it is better to teach a man to fish than to give him food""?"	3
How did the state of Missouri get it's name?	3
Ever hear of them?	3
What ebook reader can i use on my pc  to read files in IMP format?	4
how can i upload my website for free?	4
why don't i  download the multimedia software ?	4
MAC question. I want to make a movie on my mac using the mirrior feature.?	4
what is use ms dose?	4
How can I connect my nokia6630 to the internet??( I tried everything with the USB and so on but it didn't work	4
Why i cant open my e mail?	4
