sentence	label
What Languages Do You Speak?	0
Did you ever stop to think that homeless people might just really like the outdoors?	0
"looking 4 the name of a town, capital of its region, with 300,000 inhab, whose name begins ""M"" & ends ""E"""	0
am i gonna marry the guy @ church that plays the elecric guitar?	0
Where do you see yourself in 5 years?	0
Which is worse?	0
How long should we pray for something before we give up?	0
what are the colours use in celebrating valentine and which countries started.?	0
In which website can i find an African elephant ear?	1
solve 4a^2-12ab+9b^2?	1
another name for bacteria?	1
how does a plant reproduces?	1
boolean algebra simplify the following expression ABC+ABD+C'D?	1
Is there an active website out there that one could asked questions regarding college mathetics?	1
what kind of bio sensor can u be used to check thyroxin levels in blood?	1
The condensed structural formula of 5-butyldecane?	1
How to get motivated to use a Treadmill?	2
is there a pill or sumthing?	2
How do you keep your feet from being dried out and yucky?  For a small amount of money?	2
How can i make my penis grow more, in a natural way?	2
can any one tell me how  to lose s stone in weight fast?	2
What are the health differences between taking Stacker-2 and Creatine supplements?	2
Is it healthy?	2
Stop a bad habit?	2
what should a Doctor do to become a professor?	3
english model question papers answers?	3
For my homework i need to know, Why did Henry VII institute anglicanism in england?	3
How do  you decide what  subject to do your thesis on?	3
How much revenue will generated with this World Cup in Germany?	3
who invented fireworks?	3
I need to tell the teacher that i lost my homework with out getting in trouble, how should i do it????????????	3
Best quote(s)?	3
How do I keep my harry cat off my key board?	4
can someone find out where i live by getting my ip address off messager?	4
do u know ho to make Dell speakers work?	4
Has myspace changed your life?	4
How can I stop my microsoft office program from opening up when I email someone from messenger?	4
"what is diferance between IDE and USB hard disk 's speed""?"	4
Are there any sex chats?	4
Is Avast's Network Shield feature same as a firewall?I m using ZoneAlarm firewll.Can I use both these program?	4
Do you think underdog teams are under-publicize?	5
Boys' swimming lessons conducted in the nude in decades past -- how common? What was that like?	5
Is Bonds really a steriod user?	5
CAN DUNGA BE COMPARED to LIPPI AND SCOLARI?	5
What is the etiquite for an aikido dojo?	5
looking for lizardskin deck shoes?	5
Who will win the AFC championship?	5
are there any new zealanders in the nfl?	5
is this compony real North American p.o.box 11046 Fort Launderale, FL 33339,?	6
What are things sisters can do on friday nights?	6
UK. House purchase?	6
If you had a strong enough telescope, that could look around the earth , could you see your back- side ?	6
What's the current world market price of sugar?	6
Im going on a double date tonight with this girl I knew in high school and we hate eachother what should i do?	6
Why must we live?	6
Why BSNL charges service tax on rent ?	6
can i search for my favorite mp3 in ww.mtv.com?	7
Why isn't there a mouse-flavored cat food?	7
Do you have a nickname for your vehicle?	7
How tall is Justin Hartley?	7
I am obsessed with Jewel.  Is Shakira going to be jealous?	7
which one is more attractive to you ?nikol kidman or jenifer lopez why?	7
"what's the best way to win the tv show ""big brother""?"	7
OK kiddies pop quiz!  Which came first: Ska or Reggae?	7
There's this guy that I really like...?	8
good morning to u yahoo india pals?	8
My husband is cheating on me. Do I confront him or just go to a lawyer?	8
I've got some chocolate biscuits. Anyone want a date ?	8
Can a thirthteen year older be boyfriend with an eighteen year old?	8
Is it okay to go out with my teacher's son????	8
i no he likes,me but he has a GF,i no he likes me bc how he looks at me,he also tells me his news 1st?	8
My sister is mad at me because I dont come and see her anymore. Now she will not talk to me.?	8
Zionists have a crucial impact on the USA policies. Is USA directed by Zionists? Is it independence?	9
Got a Parking Ticket on Thanksgiving! Help!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!\nThanksgiving!?	9
Why is it we go to war with a country, then we have to rebuild their country????  War is war!!!!?	9
how do you have to be to get your liscense in Georgia?	9
Did You Vote For Our President? Why, and any regrets?	9
as of 2006 who is the secratary of treasure?	9
what will the feds do if recreational use of marijuana is voted in on tuesday in nevada?	9
What is a genuine Divine Government?	9
