	sentence	label
0	the teamster 's union goes on strike against overnite transportation , a nationwide freight company that has resisted unionization .	0
1	ted norwood summons all his resistance to finally quit his seemingly successful carreer , only to be outmaneuvered by a powerful executive who barely even notices that she 's in a test of wills .	0
2	prison life does not stop kilo from running his operation .	0
3	a new reality-style game show , `` treasure hunt `` has invited a cast of contestants , including a los angeles cop who 's joined to try and make up for an earlier pr blunder , to a tropical island to hunt for a buried treasure worth ten million dollars .	0
4	wishing to free himself more firmly he locks himself into d & # 233 ; pendance and lack of power .	0
5	just teetering south of puberty , young thomas harris has discovered that instead of looking at stars , he can use his new telescope to study the beautiful woman next door .	0
6	the results of the gene therapy are passed on to his son bruce .	0
7	thus , it is only natural that kyle begins a steady decline towards becoming one of the monsters he despises .	0
8	he spends most of his time throwing parties and `` fund raisers `` .	0
9	the paid-off local police and school security guards were supposed to make sure the school was empty after hours .	0
10	yoyo and cheung promise to get marry in order to please their mothers .	0
11	naturally , he returns to his analyst dr . ben sobel ( crystal ) for help and finds that sobel needs some serious help himself as he has inherited the family practice , as well as an excess stock of stress .	0
12	after he 's dumped on valentine 's day by mallory , his girlfriend of three years , charlie finds himself obsessed and unable to live a normal life without her .	0
13	in his own mental state , he sees his wife alive and beautiful .	0
14	she meets ian miller , a high school english teacher , wasp , and dreamboat she had made a fool of herself over at the restaurant ; they date secretly for a while before her family finds out .	0
15	set in san francisco , this is the story of a mysterious immortal tibetan kung fu master ( yun-fat ) , who has spent the last 60 years traveling around the world protecting an ancient scroll , who is now mentoring a street kid ( scott ) in the wonders of his ancient ways . . .	0
16	an eager young englishman is dispatched to sarawak to become part of the british colonial government , encounters some unorthodox local traditions , and finds himself faced with tough decisions of the heart involving the beautiful young selima , the unwitting object of his affections .	0
17	the da sends the dupe into valento-land in hopes of getting the sociopath off his back .	0
18	how has the `` excitement `` of the 70 's turned into the `` blandness `` of today ?	0
19	though he tried to maintain a life of solitude , he is soon entangled with an artist who is struggling with a personal tragedy and an overly-friendly cuban hot dog vendor .	0
20	watching the so-called powerful falling on their own petards is a venal pleasure , yet it also serves as a life lesson .	0
21	beth 's style is further cramped by the responsibilities of single motherhood .	0
22	an experimental documentary about a family 's loss of a child and the struggle between remembrance and forgetting .	0
23	later , otte distributes the donations he 's collected throughout the year .	0
24	the case is re-opened when two more bodies are discovered , both pregnant women .	0
25	when 19 year old tommy , a gay rights activist and 24 year old alan first meet in 1973 , they find themselves on the opposite sides of the political coin .	0
26	it will be an act of violence that thrusts the girl into womanhood and leads her to a new life where , not without pain , everything is possible .	0
27	but sometimes what we teach our children can be as deadly as not teaching them .	0
28	one whom he could never love and one whom he could never stop loving . . .	0
29	new arrival alden pyle ( brendan fraser ) , an idealistic american aid worker , befriends london times correspondent thomas fowler ( michael caine ) .	0
30	fascinated , she pursues him , bent on learning who he is and where he comes from .	0
31	they find themselves competing for not only the press ' attention , but also the focus of their shared lawyer , the suave billy flynn .	0
32	patricia gets increasingly unhappy within the materialistic las vegas scene .	0
33	petra and karl must work together in order to thwart petrov , a cold-blooded gangster , who will kill anyone who gets in his way .	0
34	now , johnny and lena ( wayne 's girlfriend ) are asked to make the ultimate baby product , called mighty baby .	0
35	rio danisworo ( marcellius siahaan ) is a rigid `` all about business `` young profesional .	0
36	shae powell , a successful single mom , wakes up rattled from a horrible dream .	0
37	in 1949 , laura brown , a pregnant housewife , is planning a party for her husband , but she ca n't stop reading the novel 'mrs .	0
38	their marriage turns into a downward spiral where she works at a local strip club and starts having an affair with her husbands best friend , freddy .	0
39	in the process they have tortured villagers and something dreadful happens and rupi disappears .	0
40	through intimate conversations with top japanese artists , scholars and devotees from all cultures and walks of life , we reveal the multi-faceted appeal of the anime world .	0
41	forced with the ultimatum , keith launches himself on a day of reclamation .	0
42	hitting the road in a brand-new suv , they 're having the time of their lives until something funny happens on the way to the monster truck show in reno .	0
43	caught in this battle of wills is clara 's daughter , victoria , who finds she is about to be married into the same faith that murdered her father .	0
44	he tries other legal approaches , which also fail .	0
45	ben stiller and jack black star as tim and nick , best friends , neighbors and co-workers , whose equal footing is suddenly tripped up when one of nick 's harebrained get-rich-quick schemes actually succeeds : vapoorizer , a spray that literally makes dog poop , or any other kind for that matter , evaporate into thin air -- to where exactly is anyone 's guess .	0
46	after the fellowship has broken , merry and pippin , taken by orcs , make new allies in the ents , while legolas , gimli and aragorn make allies in the people of rohan , and all of them must launch an assault on isengard .	0
47	failing cartoon writer , millard mudd , has sunk deep into one .	0
48	peter pan 's quest to return jane safely home is jeopardized until she can begin to believe in the magic of imagination .	0
49	with a rare gift for melding subjectivity with biographical facts , m & # 225 ; rton brings sabina spielrein back to life , body and soul .	0
50	mary goes to live with her beautician cousin in a crowded apartment , and begins to lose heart .	0
51	for oscar , diane is somewhat of a distraction , as his continued pursuit of eve leads to an unexpected resolution .	0
52	years after escaping to the wastelands outside the city , claire , one of the few people left who is not an addict , returns looking for the one man who still matters to her .	0
53	epic myth becomes burning truth on the mountain of fire .	0
54	3 years after retiring from the fbi because of a near-fatal encounter with hannibal lecter , who was helping him catch the `` chesapeake ripper `` , only to reveal it was hannibal himself , will graham is asked by his ex-partner jack crawford to come solve one last case - 2 slaughtered families every full moon .	0
55	when rebecca went away to college john thought webcams would help them keep in touch .	0
56	carlos ramirez , 28 , lives in the dominican neighborhood of washington heights in new york city , where his father eddie runs a local bodega .	0
57	after an assassination attempt on the life of senator padme amidala ( natalie portman ) , jedi obi-wan kenobi ( ewan mcgregor ) and his padawan learner anakin skywalker ( hayden christensen ) are sent to investigate .	0
58	nicklas lives a pretty normal teenage life , until one day , not far from graduation , when a gangster from his school beats him up .	0
59	no matter what people tried , nothing could stop the water .	0
60	with fate closing in and time running out , the pressure mounts on greg to change , the only question is will it be too late ?	0
61	elizabethean playwright christopher marlowe runs afoul of the queen as well as a jealous male admirer who ultimately hands marlowe 's unpublished work to william shakespeare , an unsuccessful scribe who then pilfers marlowe 's writings .	0
62	the farmer whom the barn belongs to is distraught and ca n't cope from the intruder 's power of articulations .	0
63	as she is questioned after the events by the subtle and manipulative dr . cleave , we learn how she found love only by losing any contact with respectable life and any semblance of propriety .	0
64	the drama is played out with such aching beauty and truth that it brings tears to your eyes .	1
65	raimi crafted a complicated hero who is a welcome relief from the usual two-dimensional offerings .	1
66	enigma is anything but enigmatic about affairs of the heart , and is well worth seeing for its elective affinities alone .	1
67	austin powers in goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .	1
68	it 's deep-sixed by a compulsion to catalog every bodily fluids gag in there 's something about mary and devise a parallel clone-gag .	1
69	bad . very bad . stultifyingly , dumbfoundingly , mind-numbingly bad .	1
70	a time machine , a journey back to your childhood , when cares melted away in the dark theater , and films had the ability to mesmerize , astonish and entertain .	1
71	it 's kind of sad that so many people put so much time and energy into this turkey .	1
72	an unremarkable , modern action/comedy buddy movie whose only nod to nostalgia is in the title .	1
73	if you 're part of her targeted audience , you 'll cheer . otherwise , maybe .	1
74	normally , rohmer 's talky films fascinate me , but when he moves his setting to the past , and relies on a historical text , he loses the richness of characterization that makes his films so memorable .	1
75	the movie is amateurish , but it 's a minor treat .	1
76	this comic gem is as delightful as it is derivative .	1
77	there 's suspension of disbelief and then there 's bad screenwriting . . . this film packs a wallop of the latter .	1
78	a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man .	1
79	a moving and weighty depiction of one family 's attempts to heal after the death of a child .	1
80	the production values are up there . the use of cgi and digital ink-and-paint make the thing look really slick . the voices are fine as well . the problem , it is with most of these things , is the script .	1
81	a little judicious editing would have helped a lot , but the talented cast matches the film 's ambitions and compensates for its modest budget .	1
82	like a can of 2-day old coke . you can taste it , but there 's no fizz .	1
83	mcgrath has deftly trimmed dickens ' wonderfully sprawling soap opera , the better to focus on the hero 's odyssey from cowering poverty to courage and happiness .	1
84	merchant has n't directed this movie so much as produced it -- like sausage .	1
85	it irritates and saddens me that martin lawrence 's latest vehicle can explode obnoxiously into 2 , 500 screens while something of bubba ho-tep 's clearly evident quality may end up languishing on a shelf somewhere .	1
86	avary 's film never quite emerges from the shadow of ellis ' book .	1
87	far from perfect , but its heart is in the right place . . . innocent and well-meaning .	1
88	'you 'll laugh for not quite and hour and a half , but come out feeling strangely unsatisfied . you 'll feel like you ate a reeses without the peanut butter . . . '	1
89	never rising above routine episodic storytelling , white oleander nonetheless retains something of its source novel 's ravaged emotional surface and cool , observant manner .	1
90	[ nM-fs ] directed the stage version of elling , and gets fine performances from his two leads who originated the characters on stage .	1
91	kidd deals with lust and egoism the way a surgeon is interested in a tumor . he exposes ugly attitudes but maintains compassion for his mean-spirited subject .	1
92	. . . a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .	1
93	broomfield reveals an ironic manifestation of institutionalized slavery that ties a black-owned record label with a white-empowered police force .	1
94	this odd , poetic road movie , spiked by jolts of pop music , pretty much takes place in morton 's ever-watchful gaze -- and it 's a tribute to the actress , and to her inventive director , that the journey is such a mesmerizing one .	1
95	if hill is n't quite his generation 's don siegel ( or robert aldrich ) , it 's because there 's no discernible feeling beneath the chest hair ; it 's all bluster and clichM-i .	1
96	reminiscent of david mamet 's elaborate screen bluffs -- only livelier , more playful .	1
97	insomnia is one of the year 's best films and pacino gives one of his most daring , and complicated , performances .	1
98	`` brown sugar `` admirably aspires to be more than another `` best man `` clone by weaving a theme throughout this funny film .	1
99	the only thing i laughed at were the people who paid to see it .	1
100	provides an intriguing look at how the new economy has redrawn class lines in contemporary china .	1
101	even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities .	1
102	`` auto focus `` works as an unusual biopic and document of male swingers in the playboy era	1
103	the movie , while beautiful , feels labored , with a hint of the writing exercise about it .	1
104	it may be a prize winner , but teacher is a bomb .	1
105	after one gets the feeling that the typical hollywood disregard for historical truth and realism is at work here , it 's a matter of finding entertainment in the experiences of zishe and the fiery presence of hanussen .	1
106	this latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain has arrived for an incongruous summer playoff , demonstrating yet again that the era of the intelligent , well-made b movie is long gone .	1
107	whether you 're moved and love it , or bored or frustrated by the film , you 'll still feel something .	1
108	a charming trifle . . . a welcome return to jocular form .	1
109	with rare birds , as with the shipping news before it , an attempt is made to transplant a hollywood star into newfoundland 's wild soil -- and the rock once again resists the intrusion .	1
110	miller is playing so free with emotions , and the fact that children are hostages to fortune , that he makes the audience hostage to his swaggering affectation of seriousness .	1
111	this is a labor of love , and while it may not be slick , it is an endearing look at one man 's selflessness and one team 's determination .	1
112	it 's also clear from the start that the transporter is running purely on adrenaline , and once the initial high wears off , the film 's shortcomings start to shine through .	1
113	it 's incredibly enjoyable to watch derrida pick apart , and fight against , the very process and premise of making a film about someone , particularly him .	1
114	in a season of strenuously ambitious art , the laid-back modesty and accessible charm of evelyn is a welcome relief .	1
115	it 's a compelling and horrifying story , and the laramie project is worthwhile for reminding us that this sort of thing does , in fact , still happen in america .	1
116	leave it to the french to truly capture the terrifying angst of the modern working man without turning the film into a cheap thriller , a dumb comedy or a sappy melodrama .	1
117	the sentimental script has problems , but the actors pick up the slack .	1
118	kitchen scenes playing as obvious and light-hearted metaphors for states of mind and relationships , mostly martha leaves a few elements hanging that it probably should have tidied .	1
119	my wife is an actress has its moments in looking at the comic effects of jealousy . in the end , though , it is only mildly amusing when it could have been so much more .	1
120	disappointing in comparison to other recent war moviesM-^Eor any other john woo flick for that matter .	1
121	if the movie is finally stuck halfway been cinema and prose , miller proves that it 's not an unfertile place to linger .	1
122	a historical epic with the courage of its convictions about both scope and detail .	1
123	'ejemplo de una cinta en que no importa el talento de su reparto o lo interesante que pudo haber resultado su premisa , pues el resultado es francamente aburrido y , por momentos , deplorable . '	1
124	likely to expertly drum up repressed teenage memories in any viewer .	1
125	boy , has this franchise ever run out of gas .	1
126	it 's never a good sign when a film 's star spends the entirety of the film in a coma . it 's a worse sign when you begin to envy her condition .	1
127	. . . a b-movie-and-proud-of-it thrill ride , probably the best of its kind since tremors .	1
