sentence	label
Horrible customer service!  Store very unclean, something I over looked for a few visits, but when customer service went south, that was it!  AND my poor dog never got a drink of water hen he was there!  Never again!	0
Absolutely terrible experience. We sat down on a Saturday night after calling ahead to make sure there was a table for four available. The restaurant was busy, but not full. Our bottle of wine took about 7 minutes to arrive to our table. After we ordered, we waited waited and waited. 50 minutes after we ordered our food, we asked the waiter to bring our check, as we were running short on time. Our server informed us that the chef hadn't even started our food yet. He then handed us our tab for our bottle of wine and our table bread. They couldn't even comp the bread and wine? We waited for nearly one hour! As we were leaving, there were about 5 other table available in an otherwise small restaurant. There was no reason it should have taken so long. Extremely disappointed.	0
I just got here. Just arrived in the room and am abhorred at how terrible the room is. As my boyfriend is calling to switch hotels, I am writing this yelp review.\n\nFirst off, the room is terribly overpriced. For what this is, we should've paid $20/night.  The elevator and hallways are dilapidated. The bed cover has stains on it. There is popcorn and trash left under the bed. We can hear loud music from the strip below; I have no idea how people sleep here. The lady at the desk warned us that we could hear the music, but I didn't think that meant CLEARLY and LOUDLY. \n\nAt least offer ear plugs. \n\nDon't stay here. Ever.	0
The worst service ever.\n\nI was staying in the Charlotte Marriott - where Savannah Red is located - for the Democratic Convention. I worked on events at both Conventions having come from Tampa where the Republicans held theirs. I'd been in the concierge lounge with a couple friends where I'd had 2 drinks. We made our way down to the restaurant and sat at the bar to grab something to eat before we set out on our evening. We were having a fun conversation and laughing and when we ordered,  I was told I was cut off from having more to drink. Not my two friends but just me. It was the most bizarre thing ever. Never, ever had that happen. I was not drunk or unruly and the waitress and the manager refused to listen to reason. I wouldn't go back here if it was the last place on earth to eat.	0
Menu sucks, food blah! I'd rather eat at taco bell, and I don't even like taco bell. Crappy overpriced food and terrible service.	0
"We had the worst experience with this place! My husband's alterations were dropped off and paid on July 2013, additional alternations were needed, and therefore he left his suits to be picked up on a later date.\n\nFirst Trip: My husband works abroad, therefore I went to pick up the alterations on  August 2013, with a receipt marked PAID.  The lady (owner) stated the alternations were not paid and refused to relinquish my husband suits, even with the receipt marked PAID.  Her theory: if the other two carbon receipts were not marked PAID, the transaction did not occur.   \n\nSecond Trip: My husband was very adamant about the fact that he paid and he reassured me. I went back to the shop and asked if she could research her records plus the receipt was marked PAID.  She refused to relinquish the suits; she was very rude and basically ignored me. \n\nThird Trip: Now, I am second-guessing my husband, because this is asinine. However my husband has a great memory and he deals with numbers all day therefore I attempted to visit the shop again.  She still refused to relinquish the suits. I asked again if she could \""please\"" check her financial records, check the register...anything... I just want to pick up my husband suits. \n\nStill no suits...my husband spent some time checking our bank statements and there was a payment of $114.00 made on July 5, 2013 with a reference number from Matthews Alterations.  My husband immediately called the owner, she told him, the police had his suits.  I called the lady and stated we had proof we paid and I can swing by and bring our statement...she immediately cut me off and said she was going to call the police and that his suits were at the police station. She also mentioned we didn't want to pay for the suits we just wanted a free service.  \n\n After the phone call, I had a police officer call me and asked if I could meet him at the shop.  I arrive at the shop and there were two squad cars. I showed the police  proof of payment as well as well as the owner. She then tried to say my bank statement wasn't real, wanted to copy my bank statement (which is illegal) and just because the word \""PAID\"" was not written on her calendar marked July 5th the payment was not real.   The police officer had to reassure her the bank statement was legit.  \n\nLong story longer...the look of total humiliation on her face was indeed priceless.  At each attempt, my husband and I were never disrespectful, and kept every visit professional. She was very rude, unprofessional, voided my existence, and lied about the suits being at the police station.\n\nHer bookkeeping is antiquated and suspicious and the shop is filthy! This could have been resolved in a timely manner, saving me gas, my time, and wasted tax dollars for calling Matthews Police department if she just would have provided me with Customer Service 101 by researching her financials.  She needs to be audited by the IRS!"	0
Okay, Let me just say....I'm not sure if it was food poisoning, or I coincidentally came down with a stomach bug 4 hours after eating their pizza.....but after my 36 hour adventure with my toilet and the bathroom floor, I can't say I'm willing to give this place another shot....not to mention the pizza really wasn't even worth my misery.\n\nSo, the pizza itself. I got the spinach trio (comes with spinach, tomato and feta cheese). It was a thin crust pizza, and there was waaaaaayyyyyyy too much mozzarella on this thing. The cheese was at least 1/4 inch think. This wouldn't be a problem it it was on an appropriate thickness crust. The poor thin crust just couldn't hold up all that cheese and was floppy and soggy. The was also a strange smokey flavor to the pizza, which I just don't get. Plus, there was hardly any spinach at all on the pizza. \n\nOn the plus side, the girl working the counter was very peppy and nice. \n\nSo, if your going to try this place, I recommend skipping the spinach trio...maybe it was the feta that poisoned me.....good luck, I hope you have a better experience that I....if you're the brave type.	0
OK-I realize this should not be a surprise.  But, in a stupor of holiday exhaustion, I ordered a Pan-Normous pizza for me and my kids.  My children, apparently already slaves to advertising, REALLY wanted to try it.  It turned out to be a good education for the difference between what something looks like on TV, versus real life.  ( I am sure there is a deep life lesson here, but I was too irritated to take advantage of it)  There was nothing enormous about the pizza, which is my main complaint.  I asked the guy on the phone how many people it would feed, he said 8.  Ummm-8 tiny people.  It was also, not good, but again, not surpised at that.  So I think I will be thankful that now my kids know how gross Pizza Hut is too.	0
I bought a new iMac online and they automatically add Kaspersky protection unless you remove it from the order. \n\nI saw the remove button just as I was pressing the complete purchase button. They would not refund that portion because it's software. \n\nI called Customer Support and a supervisor there would not issue a refund. Policy is policy. So they're losing my business over a little thing. I have two words for Best Buy----Apple Store.	1
Have stayed at Excalibur many times throughout the years. I had called while on the way to Vegas driving to reserve a room. Was told on the phone that would be cheaper to make reservation online because I would be charged 10.00 to do over phone. What the heck? So went online reserved room. Got a email and two rooms were reserved instead of one. Called to resolve the problem. Was hung up on, put on hold indefinitely, told I could not get money back cancellation policy was 48 hours. Finally after 2 hours decided to deal with once in Vegas. The girl who helped us check in was very helpful. refunded money, upgraded us, and gave us a late check out. After checking in and paying it was the same price as I was quoted over the phone. They don't tell you online that there is a 20 resort fee. \n\nAnother thing is make sure you eat before it gets late. The food places all shut down. This is something new since last time I was in Vegas. Always had a 24 coffee shop open. After walking upstairs and downstairs and all around per the staff telling us of food places that may be open. We ended up at 2 in the morning at New York New York which apparently is the only restaurant open near Excalibur for food.	1
