	sentence	label
0	this is the story of a deaf mute who is laid off , and his sister , who requires a kidney transplant .	0
1	with all this going on , gerry 's estranged wife margaret is worried for her daughter 's safety and finds herself another target in the race to find the code .	0
2	god responds to his challenge and allows bruce to take on his powers to prove himself .	0
3	her lover , a psychiatrist twice her age , becomes twisted in sarah 's sordid plot to kill her husband for his large inheritance .	0
4	the controversial bad-boy of comedy delivers a piercing look at his life , lifting the metaphorical smokescreen that he feels has clouded the public view , commenting on everything from the dangers of smoking to the trials of relationships , and unleashing a nonstop litany of raucous anecdotes , stinging social commentary and very personal reflections about life .	0
5	with a shower like this , what could go wrong with the wedding ?	0
6	a dozen years later we find west is an inmate at a forbidding old prison .	0
7	a master at being everybody but himself he reveals to his friend and confidant saiid ( isa totah ) the truth behind his struggles .	0
8	it is a story about finding yourself when you did n't even know you were looking .	0
9	yet it was his little-known artistic pursuits before the war that honed his discerning eye .	0
10	a chronicle , which goes behind the scenes on a stormy collaboration between the iconoclastic dance company , pilobolus , and legendary author-illustrator maurice sendak .	0
11	long before the first exorcist , we are taken to the birth of the demon pazuzu , and follow him through his life , eventually bringing us to the middle east where he waits for a victim to use as a vehcile to destroy the world with .	0
12	thus when he surprisingly gets an email from american film producer alex brubeck who writes that he had liked the script and would like to meet him personally , tam & # 225 ; s sees all his dreams come true .	0
13	on the way back from the bargain , mary nearly runs over a caped , winged figure , jerks the wheel and skids into the sidewalk .	0
14	he then dedicates himself to making sure the video tape is released to the public .	0
15	and while bruce is getting everything he wants , he has been ignoring his girlfriend , grace and loses her .	0
16	a young aboriginal man max stuart , was convicted of murder in the light of questionable evidence presented , of nine year old mary hattam near ceduna , on the south coast of australia .	0
17	it will definitely keep you on the edge of your seat because of the blood and gore or the good looking babes .	0
18	this astounding documentary puts reality tv to shame and reminds us of just how unreal that prefabricated situation-based dreck really is .	0
19	'loosely based on a true love story ' is a romantic comedy starring kate hudson as emma and luke wilson as alex . alex is an author whose writer 's block and gambling debts have landed him in a jam .	0
20	the three roommates have proudly scammed their way through the last four years of college and now , during the final exams , these big-men-on-campus are about to be busted by the most unlikely dude in school .	0
21	peter must relive this brief moment at the party until he gets it right and wins jen 's heart .	0
22	as laughable is his vanity fair interview , incriminating of `` the gay mafia `` for his fall , `` my dinner with ovitz `` is even funnier as it rams the actual interview headlong into coppola 's `` godfather . ``	0
23	steve 's best friend , sean , on the other hand , has n't been so lucky .	0
24	as a young writer , her fun loving , witty and kind personality represent everything that rio is not .	0
25	and even if the answer is `` yes , `` what then ?	0
26	the result is a high-stakes mystery , where everyone seems to know exactly who is most guilty .	0
27	although a number of these laws have been overturned by legislatures or the courts , in the state of texas freedom fighters are still working to eliminate these absurd and unnecessary laws .	0
28	people on the site work monotonously , in a fervor , then dazed , trance-like .	0
29	although forcibly baptized , the sisters are chased through christendom until they arrive in venice .	0
30	shortly after the arrival of the rehab escapees , luck shoots and kills salo jr . and his wife .	0
31	fired in disgrace , kids show host randolph smiley finds himself out on the street , while his replacement sheldon mopes , finds himself on the fast track to success with a new hit show as the proud purple rhino smoochy .	0
32	along comes sonja , who wants to know how the horny tale he 's now working on will end .	0
33	a documentary seven years in the making about women in the film business and how they balance , children , love lives and career -- or how they do n't .	0
34	hilarity ensues as the local developer battles to stop them while the sheriff starts to fall for the family 's only daughter .	0
35	the story goes that she ca n't go in the light , and if you wake up and see her , she 'll kill you .	0
36	gradually we learn of joe 's past relationship with the dead woman .	0
37	victor ( leguizamo ) , is trying to escape his life as a drug dealer in the south bronx .	0
38	only a man so afraid of his world is capable of building a device to change it .	0
39	now joined by teiresias , the former king forces his daughter back to her senses and the horrifying realization that not only is her son dead , but that agave herself was `` amongst his butchers . ``	0
40	this `` hitchcockian `` thriller tells the story of a young new york investment banker ( hartnett ) who becomes obsessed with a woman he sees in a cafe , believing her to be his long-lost love , following her home to her apartment , where he waits for her , going so far as to put his engagement on hold .	0
41	using every means necessary-manipulation , extortion , blackmail-they brought the kingpins of the record industry to their knees , creating a network that controlled top 40 airplay across the country .	0
42	partnered with the sassy , stunning sistah girl , our hero must first undergo the ultimate attitude adjustment and trade in his 'fro and platforms for tennis sweaters and penny loafers .	0
43	scott calvin ( tim allen ) has been santa claus for the past eight years , and his loyal elves consider him the best santa ever .	0
44	what began as an audio-visual recording of the nine months of director jacqueline liebman 's pregnancy as she and her boyfriend dealt with the fact that they were totally unprepared as parents .	0
45	amaro soon discovers that corruption and the church are old acquaintances in los reyes .	0
46	his strengths are fish frying and stamp collecting , and he thinks magnum 45s are a type of ice cream .	0
47	the movie details the experiences of 'peter pan ' author j . m . barrie , which lead him to write the children 's classic .	0
48	the assasins force walter to drive their escape car .	0
49	in this playful and rollicking swashbuckler , drag king pirates take to the high seas on a quest to restore stolen treasures .	0
50	mother turns out to be his crazy accomplice in mass murder and his quest for immortality .	0
51	baaba andoh fled ghana in fear for her life , when her long-lost father tried to force her to undergo female genital mutilation .	0
52	one day in the life of a hit man , ronnie , who spends it trying to save the life of fellow hit man , august , who he had brought into the business three years ago .	0
53	ploddy is a living car with a mind of his own !	0
54	as a result , sarah embarks upon a journey of discovery that leads to danger , heartbreak and romance in the far corners of the world .	0
55	the only thing that matters for him is break dancing .	0
