sentence	label
dejected , schmitz discovers robert stephens , a young , gay britney impersonator .	0
he does n't accept himself and even everyday contacts with others cause his aggression .	0
while accompanying an us senator on his mission in cuba , he makes a botch of so many things , that a minor blunder by the senator turns into a serious incident , which intensifies into a second cuban crisis - thanks to further entanglements by the media , police , and diplomats who represent the arch-enemies usa and cuba .	0
the film starts in 1846 and ends in 1863 with the draft riots .	0
of course , this is n't the best idea , since it involves sneaking into gun-nut carl 's house in the middle of the night .	0
the film follows the story of duncan , a fourteen-year old misfit farm boy trying to fill the void and alleviate the numbness left by his mother 's passing .	0
together with john connor , it must stop the rise of the machines or all humanity will fall .	0
though the bosses killed his father , he is loyal to them and is considered family .	0
'the journey ' is the story of a young icelandic girl named kaja .	0
his model girl friend ( anne marie johnson ) immediately leaves him .	0
an abused woman ( lopez ) discovers that the dream man ( campbell ) she married was n't whom she thought he was .	0
the small daily routines of everyday life are not as clear and obvious as one might think .	0
only nurse bloom knows the spells to ensure that the child will see benevolent spirits , not evil ones , but she has n't bargained for lena 's mother , who scoffs at 'old time ideas ' and discreetly disposes of the special tea the nurse has brewed .	0
betting xxx can succeed where other conventional spies have failed , gibbons sends xxx to enter this world of crime undetected , using his natural athletic prowess and a whole lot of attitude .	0
shows that you should not fear death , but to fear an unlived life .	0
the chubbchubbs introduces the alien inhabitants of the planet glorf , including meeper , its earnest but oh so awkward hero , a singing diva , the zyzaks , 20 foot-tall red-eyed bullies , and the chubbchubbs .	0
it 's difficult to conceive of anyone who has reached puberty actually finding the characters in slackers or their antics amusing , let alone funny .	1
'enigma ' is the kind of engaging historical drama that hollywood appears to have given up on in favor of sentimental war movies in the vein of 'we were soldiers . '	1
overall , it 's a wacky and inspired little film that works effortlessly at delivering genuine , acerbic laughs .	1
like its bizarre heroine , it irrigates our souls .	1
the film is darkly atmospheric , with herrmann quietly suggesting the sadness and obsession beneath hearst 's forced avuncular chortles .	1
to my taste , the film 's comic characters come perilously close to being amoses and andys for a new generation .	1
like schindler 's list , the grey zone attempts to be grandiloquent , but ends up merely pretentious -- in a grisly sort of way .	1
every joke is repeated at least four times . every joke is repeated at least four times . every joke is repeated at least -- annoying , is n't it ?	1
a profoundly stupid affair , populating its hackneyed and meanspirited storyline with cardboard characters and performers who value cash above credibility .	1
everything that 's worthwhile about collision course can already be seen on television .	1
every single scene conveys a significant and concise narrative development , yet does so in an unassuming , patient fashion that emphasizes detail .	1
everything is pegged into the groove of a new york dating comedy with 'issues ' to simplify .	1
a summer entertainment adults can see without feeling embarrassed , but it could have been more .	1
it 's also clear from the start that the transporter is running purely on adrenaline , and once the initial high wears off , the film 's shortcomings start to shine through .	1
the soundtrack alone is worth the price of admission .	1
the direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why .	1
