	question	option1	option2	label
0	Hide money in purse.	Place cash in sanitary napkin pack.	Place cash in clear ziploc bag.	0
1	How can I keep my diamond ring sparkling?	You can soak the ring in warm water and mild dishwashing liquid, and scrub with a soft toothbrush	You can soak the ring in warm water and mild dishwashing liquid, and scrub with steel wool.	0
2	How can I make money at home?	Sign up with proofread anywhere and do proofreading at home and correct others errors.	Sign up with bookburning anywhere and do proofreading at home and correct others errors.	0
3	How do you check if a glass bowl will float?	Place the empty bowl into a larger pot filled halfway with water, see if the glass bowl sinks or stays on top.	Place the empty bowl into a larger pot filled halfway with ice, see if the glass bowl sinks or stays on top.	0
4	To create cold air in a DIY air conditioner made from a fan enclosed in a Styrofoam box.	Put a bottle of frozen water in the box with the fan.	Put a bottle of lukewarm water in the box with the fan.	0
5	How can I keep my towel from falling off the handle of the oven or fridge?	Fold your towel into its desired form and attach Velcro strips in two spots, one on the front and one on the back,	Fold your towel into its desired form and attach Velcro strips in one spot, one on the front or one on the back,	0
6	Can I make my own stress tea?	Lemon verbena    Lemon thyme    Lemongrass         Steeping Instructions: For dried herbs, use 1 teaspoon lemon verbena, ½ teaspoon lemon thyme and ½ teaspoon lemongrass per cup of tea. (If using fresh herbs, triple the quantities.) Steep for 15 minutes. Strain as needed.	Lemon verbena    Lemon thyme    grass         Steeping Instructions: For dried herbs, use 1 teaspoon lemon verbena, ½ teaspoon lemon thyme and ½ teaspoon grass per cup of tea. (If using fresh herbs, triple the quantities.) Steep for 15 minutes. Strain as needed.	0
7	Reduce shininess of makeup.	Place a dab of baby powder on makeup.	Place a dab of baby oil on makeup.	0
8	Remove excess juice from tomatoes.	Use a salad spinner.	Use a salad bowl.	0
9	How do you indicate there is mail in your mailbox?	Raise the flag upright to indicate mail.	Put a blue cover over the mailbox.	0
10	make bracelet	connect paperclips to fit wrist	make sure to close clips	0
11	To start the hanging modular lamp shade project	Print and cut out 20 modular design from your computer, it may take a while but be patient.	Print and cut modular	0
12	How to make coffee in electric coffee maker.	Fill pitcher with desired amount of water, pour in top of maker, place filter in basket and ad desired amount of coffee, replace basket, turn on.	Fill pitcher with desired amount of water, pour in top of maker, place desired amount of coffee in basket and ad filter, replace basket, turn on.	0
13	Hang a picture frame with ease.	Place dabs of tooth paste on the back of frames where you want to make nail marks to mark the wall properly.	Place dabs of paint on the back of picture frames to mark where the nails should go on the wall.	0
14	blade	can cut watermelon 	can cut diamond 	0
15	food processor	gets cleaned in sink 	gets cleaned in pool 	0
16	What is the best way to slice an apple?	To slice an apple, you should make sure you cut the apple into wedges while avoiding the core and seeds.	to slice the apple, you should make sure you are using the whole apple so that you avoid wasting any of the apple flesh.	0
17	If you want to reuse a small jar as a refrigerator magnet, what do you need to do?	Attach a magnet onto the jar with hot glue.	Attach a metal piece onto the jar with hot glue.	0
