sentence	label
where can i find offensive commericals?	0
"what do you think someone means when they say ""sinners such as you..""?"	0
If you could be...?	0
When I pass under street lights, they go out...often this will happen in parking garages too.?	0
Do you think life is decided and whatever happens had to happen?Or do you think that you control your destiny?	0
How do i develop telekenesis?	0
who  lives in new york?	0
If you are suffering, does God choose to not help you or can't he help?	0
How come the weather in San Fran is so different from that of Washington DC?	1
Born to Virgin? do you really bl eave that Jesus was  or  a story was created to hide the truth from stoning?	1
mechanism of b cell of immune system?	1
How was the first ever clinometer & what were its components?	1
Can you figure out the Fibonacci  Sequence?	1
notes for biology students age 16?	1
what are the three physical properties of ionic solids that are linked to ionic bonds?	1
what's the diffrences between paramagnetic and diamagnetic force?	1
What is the ratio of HIV/AIDS victims in Mississippi?	2
Do you think I am a handsome person?	2
Losing Weight?	2
i drink over a gallon of water a day. is that healthy? does it indicate a health problem?	2
blackheads on my back shoulders and gradually into arms, can anybody suggest medicene.?	2
what is the course of hyperactive salivation and the remedy.?	2
can acid reflux keep you up  at night, is it that bothersome?	2
Is weed addcive or just a habit?	2
what are some objects made by forging?	3
what do ancient egypt houses look like ?	3
who read sea wolf by jack london?	3
Kindly display the child care hospital, children hospital in chennai?	3
Can anyone help?	3
What is a 42 sided polygon called?	3
Do you agree or disagree with the following statement?	3
Am I making my navel feel self-conscious?	3
how do I get on onto my computer without a password?	4
What is the difference between an E-commerce web site and a non E-commerce web site?	4
"My wireless enabled laptop shows ""signal strength excellent"". yet I cannot get online.?"	4
How can a computer system with multiple processors be scheduled using advanced operation research techniques?	4
I haven't recieved a message from yahoo member sevices?	4
Out of the following Laptop makers, who do you think makes the best laptops?	4
Is there a punishment from sites to people under 18 that view (or have a membership) to their or any  pornsite	4
Email from My Space, what a load of crap!!?	4
Where can I find Nebraska Cornhusker Poker Chips?	5
hows baseball?	5
Are the New York Mets for real?... Will they win the division?	5
what is the best way to train for a half marathon?	5
"What does ""CB"" mean   such as honda CB 750?"	5
possible to spray paint blank painted skateboard deck and trucks?	5
which country is the 1st country to win the fifa world cup award and what year?	5
fishing in new mexico,whats the rules on how many hooks on a fishing pole, id like to use two,is this legal?	5
why do people shop at walmart if they talk s!@t about it?	6
what is the default position of a contractive employment when the employer hasent got a contract?	6
where can i find a blank book so i can paste my story in?	6
where do I live?	6
which is best site for MBA holder job seekers in India?	6
Why are some of us misusing this great site?	6
US$ foreign exchange conversion rate to rupees on 31/3/06?	6
How do I find a small house [1 or 2 bedrooms] in surrey? I want only up to £150,000. Freehold, patio or small	6
if wolverine were to have a younger sis or brother, which would be funnier?	7
What was Shirley Maclain's fist moving called?	7
Who sings Little Girl of Mine [Well, little girl of mine, you sure look fine..].?	7
Have you lost that loving feeling?	7
Older Disney Cartoons?	7
What is the most original thing you ever said that made someone laugh hysterically?	7
How can i contact the record publishing company, october cues, to get permission to use a song?	7
What do most men do after sexual activity?	7
do same sex lover relationship is bad or do it written in a bible?	8
When a guys tells you he loves you how do you know if he loves you as a friend or more than a friend?	8
love and forgiveness?	8
Lately I cant do anything right(in his eyes) when it comes to my man, he nit picks at everything . WHY?	8
Do any oone want to talk to a black hottie?	8
Can a women have no sex till the age of 40? Eventhough her husband is living with her? OR can it be possible?	8
How do I know I've found the right guy?	8
what do you buy an 80 yr old lady for christmas?	8
Will the liberals apologize to the Republicans for the clearly false accusations...?	9
worse president,,  and why?	9
i wnat to join the service?	9
Economical imbalance is one reason that makes humans to go with war with other countries. As poverty increase?	9
What is Angolan Foreign Policy text the concept of non alignment?	9
Do Necons pray for Timmothy McVeigh's soul  since he was a Con?	9
What do you think Chavez meant when he told Condelezza Rice ,You better not mess with me?	9
Credit and Debt?	9
